plant_id,c_id,cas_id,metabolite,molecular_formula,mw,organism,canonical_plant_id,plant_mapping_status,plant_mapping_source_column,plant_mapping_canonical_column,normalized_metabolite_name,normalized_metabolite_key,normalized_cas_id,normalized_cas_key,cas_is_valid,cas_validation_reason,normalized_formula,normalized_formula_key,normalized_mw,source_compound_key,raw_plant_key,source_name,source_url,source_batch_id,retrieved_at,raw_line_number,raw_row_hash,normalization_status,review_reason
1,C00001071,529-44-2,Myricetin,C15H10O8,318.0375673,Abelmoschus manihot,6f8e4fe7-5fe6-5f20-a6b5-11d27f3bdb1b,mapped,raw_plant_id,plant_id,Myricetin,myricetin,529-44-2,529442,true,ok,C15H10O8,c15h10o8,318.037567,049f968727bff5acf409c1c0e79c499e8151128bfd7ddb76dfd8a65a0d411512,1,KNApSAcK World,https://www.knapsackfamily.com/KNApSAcK_World/,compounds_20260602_131155,2026-06-02T13:11:55+00:00,2,3a0004217069c56ed547bcc505a7234de93e3e93f6d72df0ad73bcdcc09c133f,ready,
1,C00005372,482-36-0,Hyperin,C21H20O12,464.09547611,Abelmoschus manihot,6f8e4fe7-5fe6-5f20-a6b5-11d27f3bdb1b,mapped,raw_plant_id,plant_id,Hyperin,hyperin,482-36-0,482360,true,ok,C21H20O12,c21h20o12,464.095476,2b0ea5b4dc39b0d993f103281b69fafa25d434bd4edf8645433cede76ffdd7c1,1,KNApSAcK World,https://www.knapsackfamily.com/KNApSAcK_World/,compounds_20260602_131155,2026-06-02T13:11:55+00:00,3,31e9129d4bafb906b7f91fe77d0eb25cd0306b16f6e4c382e1445458023e7356,ready,
1,C00005373,482-35-9,Hirsutrin,C21H20O12,464.09547611,Abelmoschus manihot,6f8e4fe7-5fe6-5f20-a6b5-11d27f3bdb1b,mapped,raw_plant_id,plant_id,Hirsutrin,hirsutrin,482-35-9,482359,true,ok,C21H20O12,c21h20o12,464.095476,84c08003df16412dfb54406b329d9514f8808ff86049feb511a438770beca31b,1,KNApSAcK World,https://www.knapsackfamily.com/KNApSAcK_World/,compounds_20260602_131155,2026-06-02T13:11:55+00:00,4,708f856a210e55a5875a4738f6895e2c6aefdeddfbd7cadab4fdf701b8eb2bd5,ready,
1,C00005374,522-12-3,Quercetin 3-O-alpha-L-rhamnoside,C21H20O11,448.10056148,Abelmoschus manihot,6f8e4fe7-5fe6-5f20-a6b5-11d27f3bdb1b,mapped,raw_plant_id,plant_id,Quercetin 3-O-alpha-L-rhamnoside,quercetin_3oalphalrhamnoside,522-12-3,522123,true,ok,C21H20O11,c21h20o11,448.100561,01cf16795475b14740c4fb7d4f01a50a8831fe38e5e42a91987144f39cb8ef95,1,KNApSAcK World,https://www.knapsackfamily.com/KNApSAcK_World/,compounds_20260602_131155,2026-06-02T13:11:55+00:00,5,b9103a0fc2ebd766e056ee1686b914bbbc6c42c4ff5a8320b22e12a325db9b99,ready,
1,C00056673,122620-32-0,beta-D-Glucopyranuronosyl-(1->3)-alpha-D-galactopyranuronosyl-(1->2)-6-deoxy-L-mannose,C18H28O17,516.13264947,Abelmoschus manihot,6f8e4fe7-5fe6-5f20-a6b5-11d27f3bdb1b,mapped,raw_plant_id,plant_id,beta-D-Glucopyranuronosyl-(1->3)-alpha-D-galactopyranuronosyl-(1->2)-6-deoxy-L-mannose,betadglucopyranuronosyl13alphadgalactopyranuronosyl126deoxylmannose,122620-32-0,122620320,true,ok,C18H28O17,c18h28o17,516.132649,6408dc4ea430a5bc4bcfc5edabb8d842575f3838fe456bbf980d65a2fe69af5d,1,KNApSAcK World,https://www.knapsackfamily.com/KNApSAcK_World/,compounds_20260602_131155,2026-06-02T13:11:55+00:00,6,0746c07368689c583e2af32a2cd4c8934063cad3fdaf3c0caef2c8946115e127,ready,
2,C00003132,4602-84-0,"trans,trans-Farnesol",C15H26O,222.19836545,Abelmoschus moschatus,2878ff7d-24d4-53f0-b0bc-e1da962af77d,mapped,raw_plant_id,plant_id,"trans,trans-Farnesol",transtransfarnesol,4602-84-0,4602840,true,ok,C15H26O,c15h26o,222.198365,2f8c28c2268b3a00887821b5112d8e52fab965924c76732f80220210ba699e6d,2,KNApSAcK World,https://www.knapsackfamily.com/KNApSAcK_World/,compounds_20260602_131155,2026-06-02T13:11:55+00:00,7,06a08dd9ae9617a12a46516226740b8298b90205073efd1a1646a37f3faca685,ready,
2,C00054274,6940-57-4,2-Acetyl-6-methylpyridine,C8H9NO,135.06841392,Abelmoschus moschatus,2878ff7d-24d4-53f0-b0bc-e1da962af77d,mapped,raw_plant_id,plant_id,2-Acetyl-6-methylpyridine,2acetyl6methylpyridine,6940-57-4,6940574,true,ok,C8H9NO,c8h9no,135.068414,4f23278e3dafe736b443a3e12957645dee52dc5ece74c39b63579cf59288309a,2,KNApSAcK World,https://www.knapsackfamily.com/KNApSAcK_World/,compounds_20260602_131155,2026-06-02T13:11:55+00:00,8,b3aee0b5fdf9b82175719b61f3719cdbd48e612869c69e45e6b7b08d1b2b1dad,ready,
2,C00054398,1038399-47-1,2-Acetyl-3-hydroxy-5-methylpyridine,C8H9NO2,151.06332854,Abelmoschus moschatus,2878ff7d-24d4-53f0-b0bc-e1da962af77d,mapped,raw_plant_id,plant_id,2-Acetyl-3-hydroxy-5-methylpyridine,2acetyl3hydroxy5methylpyridine,1038399-47-1,1038399471,true,ok,C8H9NO2,c8h9no2,151.063329,73a89c29eb37d167d8fff604d9a3d1af90dd2af0bdf1161a2e48661124122f69,2,KNApSAcK World,https://www.knapsackfamily.com/KNApSAcK_World/,compounds_20260602_131155,2026-06-02T13:11:55+00:00,9,6d0f72b9cfd8edb57470a5d812e4df3197d2756391ed5c694c5f98f0333a4aa1,ready,
2,C00054399,1038399-43-7,"2-Acetyl-3-hydroxy-5,6-dimethylpyridine",C9H11NO2,165.0789786,Abelmoschus moschatus,2878ff7d-24d4-53f0-b0bc-e1da962af77d,mapped,raw_plant_id,plant_id,"2-Acetyl-3-hydroxy-5,6-dimethylpyridine",2acetyl3hydroxy56dimethylpyridine,1038399-43-7,1038399437,true,ok,C9H11NO2,c9h11no2,165.078979,38bcb348c7563aa00d04e016c148448c05070311aad064d5a51b8cee726dc4f8,2,KNApSAcK World,https://www.knapsackfamily.com/KNApSAcK_World/,compounds_20260602_131155,2026-06-02T13:11:55+00:00,10,73bd59ccd380af1eaf1e5db2ffdfc3f34a66c9b2de93afef900fedf76897d111,ready,
2,C00054400,1038399-45-9,2-Acetyl-3-hydroxy-6-methylpyridine,C8H9NO2,151.06332854,Abelmoschus moschatus,2878ff7d-24d4-53f0-b0bc-e1da962af77d,mapped,raw_plant_id,plant_id,2-Acetyl-3-hydroxy-6-methylpyridine,2acetyl3hydroxy6methylpyridine,1038399-45-9,1038399459,true,ok,C8H9NO2,c8h9no2,151.063329,f69849e5ce7cb8bc572f4eaa90abef9dc9863db25b1adcae16e5379ecfd395f4,2,KNApSAcK World,https://www.knapsackfamily.com/KNApSAcK_World/,compounds_20260602_131155,2026-06-02T13:11:55+00:00,11,6bef9dc563b6a05cb0e2daadf0705a380be45b54d4cfa8e14cda17a01306eb00,ready,
