compound_candidate_id,candidate_key,candidate_key_strategy,representative_name,representative_name_key,representative_cas_id,representative_cas_key,representative_formula,representative_formula_key,representative_mw,source_name,source_url,source_batch_id,retrieved_at,candidate_status,candidate_confidence,member_count,ready_member_count,review_member_count,search_priority,search_terms_json,candidate_fingerprint,review_reason
cmpcand_8ed6995db2011230,cas_name::11014145::indicinine,cas_exact_name_support,Indicinine,indicinine,11014-14-5,11014145,,,0,KNApSAcK,https://www.knapsackfamily.com/KNApSAcK/,compounds_20260524_150109,2026-05-24T15:01:10+00:00,ready,0.9850,1,1,0,1,"[""Indicinine"", ""11014-14-5"", ""0""]",d674ee98ed84ee17675ad23c6b81dd0e0fb3bef5c9863083367318c9dc07b80b,
cmpcand_cbbc0bd664b857b0,cas_name::130525734::uronic_acid,cas_exact_name_support,Uronic acid,uronic_acid,130525-73-4,130525734,,,0,KNApSAcK,https://www.knapsackfamily.com/KNApSAcK/,compounds_20260524_150109,2026-05-24T15:01:10+00:00,ready,0.9850,1,1,0,1,"[""Uronic acid"", ""130525-73-4"", ""0""]",15f61bf49e2882cef7d4dbac64c225ee26636d556f69dcb4135bd1d82c19fdc4,
cmpcand_7c0c8b884f7c6ed1,cas_name::131641504::meliacin,cas_exact_name_support,Meliacin,meliacin,131641-50-4,131641504,,,0,KNApSAcK,https://www.knapsackfamily.com/KNApSAcK/,compounds_20260524_150109,2026-05-24T15:01:10+00:00,ready,0.9850,1,1,0,1,"[""Meliacin"", ""131641-50-4"", ""0""]",5a222f0ed0a52c009efea6ed0a248e09004df06fbeb7a039db74375e162fe464,
cmpcand_1691251c996fac5f,cas_name::1392401::melanthin,cas_exact_name_support,Melanthin,melanthin,1392-40-1,1392401,,,0,KNApSAcK,https://www.knapsackfamily.com/KNApSAcK/,compounds_20260524_150109,2026-05-24T15:01:10+00:00,ready,0.9850,1,1,0,1,"[""Melanthin"", ""1392-40-1"", ""0""]",cab7901c6198b6292aab7a61b6136cdd66adcd6710b39f4691d1c173aa64105c,
cmpcand_4041bc4c139ee49d,cas_name::1407803::nimbidin,cas_exact_name_support,Nimbidin,nimbidin,1407-80-3,1407803,,,0,KNApSAcK,https://www.knapsackfamily.com/KNApSAcK/,compounds_20260524_150109,2026-05-24T15:01:10+00:00,ready,0.9850,1,1,0,1,"[""Nimbidin"", ""1407-80-3"", ""0""]",191e22f5897c78f839e92b6c9730434e845a40145c6eb6958f5a4911bc5ca1cf,
cmpcand_b98b3ebb1548cd58,cas_name::308061349::aliphatic_alcohol,cas_exact_name_support,Aliphatic alcohol,aliphatic_alcohol,308061-34-9,308061349,,,0,KNApSAcK,https://www.knapsackfamily.com/KNApSAcK/,compounds_20260524_150109,2026-05-24T15:01:10+00:00,ready,0.9850,1,1,0,1,"[""Aliphatic alcohol"", ""308061-34-9"", ""0""]",1eb19fa10ff693f34bff60c106fa46b0d441478d9f55efeaa992eda219beb935,
cmpcand_398f55512871162f,cas_name::37279848::betalain,cas_exact_name_support,Betalain,betalain,37279-84-8,37279848,,,0,KNApSAcK,https://www.knapsackfamily.com/KNApSAcK/,compounds_20260524_150109,2026-05-24T15:01:10+00:00,ready,0.9850,1,1,0,1,"[""Betalain"", ""37279-84-8"", ""0""]",4b218b788873d2b6ec5422ffe8b0e423ca38ddef3c3c64d60614b93de0dcfed3,
cmpcand_3be7880e918a127b,cas_name::99753136::trigofoenoside_e,cas_exact_name_support,Trigofoenoside E,trigofoenoside_e,99753-13-6,99753136,,,0,KNApSAcK,https://www.knapsackfamily.com/KNApSAcK/,compounds_20260524_150109,2026-05-24T15:01:10+00:00,ready,0.9850,1,1,0,1,"[""Trigofoenoside E"", ""99753-13-6"", ""0""]",64afff68d3ad8a621b5c65e5aaa76d6ed7c003c5c7a98f56e77443cbe1b041f3,
cmpcand_30c046df3d95dd88,cas_name_formula::100016942::sesamolinol::c20h20o7,cas_exact_name_formula_support,Sesamolinol,sesamolinol,100016-94-2,100016942,C20H20O7,c20h20o7,372.120903,KNApSAcK,https://www.knapsackfamily.com/KNApSAcK/,compounds_20260524_150109,2026-05-24T15:01:10+00:00,ready,0.9900,1,1,0,1,"[""Sesamolinol"", ""100016-94-2"", ""C20H20O7"", ""372.120903""]",25092a9a7fcbfa17614ebf221da8e86ed69e4132a4e6ca002c4c3707e3a99fd2,
cmpcand_207565d38967bdb3,cas_name_formula::1000415553::8hydroxy34567pentamethoxyflavone::c20h20o8,cas_exact_name_formula_support,"8-Hydroxy-3',4',5,6,7-pentamethoxyflavone",8hydroxy34567pentamethoxyflavone,1000415-55-3,1000415553,C20H20O8,c20h20o8,388.115818,KNApSAcK,https://www.knapsackfamily.com/KNApSAcK/,compounds_20260524_150109,2026-05-24T15:01:10+00:00,ready,0.9900,1,1,0,1,"[""8-Hydroxy-3',4',5,6,7-pentamethoxyflavone"", ""1000415-55-3"", ""C20H20O8"", ""388.115818""]",a046fb8b3c859ed08298cae60d769ae335a1363a78f3cb5c85a075efb5dec1bb,
