compound_candidate_id,candidate_key,candidate_status,search_priority,search_terms_json,pubchem_cid,chembl_id,inchi_key,smiles,molecular_formula,molecular_weight,iupac_name,preferred_name,source_name,source_url,source_batch_id,retrieved_at,enrichment_confidence,enrichment_status,match_strategy,match_reason,match_rank,match_count,cache_hit,cache_key,review_reason
cmpcand_26ae501ce0fd6d7f,cas_name::11014_14_5::indicinine,ready,1,"[{""text"": ""11014-14-5"", ""kind"": ""cas"", ""priority"": 1, ""provenance"": ""candidate.representative_cas_id""}, {""text"": ""Indicinine"", ""kind"": ""name"", ""priority"": 2, ""provenance"": ""candidate.representative_name""}, {""text"": ""0"", ""kind"": ""mw"", ""priority"": 4, ""provenance"": ""candidate.representative_mw""}]",,CHEMBL1795550,KEAYVGHLOUCYNN-WAYWQWQTSA-N,CCCC/C=C\CCCCCCCCCCCCCc1cc(O)cc(O)c1,,374.61,,Indicinine,ChEMBL,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1795550,2026-04-29T17:23:06.652303+00:00,2026-04-29T17:23:06.652303+00:00,0.3000,ambiguous,chembl_name,name_no_direct_match;low_confidence_tie,1,10,false,c9a5d8ef9f1e417b1cf53484ea6dd5d3a41fd2e5ac8d247d4c8786d7ca227489,low_confidence_tie;name_no_direct_match
cmpcand_de2602a17b0cd173,cas_name::130525_73_4::uronic_acid,ready,1,"[{""text"": ""130525-73-4"", ""kind"": ""cas"", ""priority"": 1, ""provenance"": ""candidate.representative_cas_id""}, {""text"": ""Uronic acid"", ""kind"": ""name"", ""priority"": 2, ""provenance"": ""candidate.representative_name""}, {""text"": ""0"", ""kind"": ""mw"", ""priority"": 4, ""provenance"": ""candidate.representative_mw""}]",,CHEMBL3659241,NQQBBJXZLPRCDS-UHFFFAOYSA-N,Cc1ccc(N(C)C)c(C(=O)N2C3CCC2C(COc2ccccn2)C3)n1,,366.47,,Uronic acid,ChEMBL,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3659241,2026-04-29T17:23:42.841496+00:00,2026-04-29T17:23:42.842496+00:00,0.3000,ambiguous,chembl_name,name_no_direct_match;low_confidence_tie,1,20,false,c195e3ed66b7db3babd40c7cafc3799755c0ccf80e0aa97cd8c9d78ffd99f712,low_confidence_tie;name_no_direct_match
cmpcand_430665609b08bc47,cas_name::131641_50_4::meliacin,ready,1,"[{""text"": ""131641-50-4"", ""kind"": ""cas"", ""priority"": 1, ""provenance"": ""candidate.representative_cas_id""}, {""text"": ""Meliacin"", ""kind"": ""name"", ""priority"": 2, ""provenance"": ""candidate.representative_name""}, {""text"": ""0"", ""kind"": ""mw"", ""priority"": 4, ""provenance"": ""candidate.representative_mw""}]",,CHEMBL3644307,SBZAFQICIAOQAM-ZRBRQIMBSA-N,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(C(N)=O)cc2)NC1=O,,1120.29,,Meliacin,ChEMBL,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3644307,2026-04-29T17:24:08.420938+00:00,2026-04-29T17:24:08.420938+00:00,0.3000,ambiguous,chembl_name,name_no_direct_match;low_confidence_tie,1,10,false,a42a5d053ebdf78f93c9eb36c6eb3296f1de0712514b992b9cdcbb45f7956474,low_confidence_tie;name_no_direct_match
cmpcand_fdf1ff2c68151b11,cas_name::1392_40_1::melanthin,ready,1,"[{""text"": ""1392-40-1"", ""kind"": ""cas"", ""priority"": 1, ""provenance"": ""candidate.representative_cas_id""}, {""text"": ""Melanthin"", ""kind"": ""name"", ""priority"": 2, ""provenance"": ""candidate.representative_name""}, {""text"": ""0"", ""kind"": ""mw"", ""priority"": 4, ""provenance"": ""candidate.representative_mw""}]",,CHEMBL3656159,TWSDZWSGUIOPLA-UHFFFAOYSA-N,CN1OC2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1CC21Cc2ccccc2C1,,406.49,,Melanthin,ChEMBL,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3656159,2026-04-29T17:24:37.009206+00:00,2026-04-29T17:24:37.009206+00:00,0.3000,ambiguous,chembl_name,name_no_direct_match;low_confidence_tie,1,10,false,ff7d45fd6d649d3a80fda3aa1d5ed3b87a42ee35ca248597dbe70dd0b5984c48,low_confidence_tie;name_no_direct_match
cmpcand_b678da0735a38304,cas_name::1407_80_3::nimbidin,ready,1,"[{""text"": ""1407-80-3"", ""kind"": ""cas"", ""priority"": 1, ""provenance"": ""candidate.representative_cas_id""}, {""text"": ""Nimbidin"", ""kind"": ""name"", ""priority"": 2, ""provenance"": ""candidate.representative_name""}, {""text"": ""0"", ""kind"": ""mw"", ""priority"": 4, ""provenance"": ""candidate.representative_mw""}]",,CHEMBL3644329,KGUGWSTVVPFRQU-FETROPEJSA-N,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H]2C[C@@H](N)CN2C1=O,,1042.22,,Nimbidin,ChEMBL,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3644329,2026-04-29T17:25:06.730679+00:00,2026-04-29T17:25:06.730679+00:00,0.3000,ambiguous,chembl_name,name_no_direct_match;low_confidence_tie,1,10,false,23608531979dab20dadbf9425b2c22160fd934e030e685aead7bc39e08982776,low_confidence_tie;name_no_direct_match
cmpcand_ac1a65e98404c1a2,cas_name::308061_34_9::aliphatic_alcohol,ready,1,"[{""text"": ""308061-34-9"", ""kind"": ""cas"", ""priority"": 1, ""provenance"": ""candidate.representative_cas_id""}, {""text"": ""Aliphatic alcohol"", ""kind"": ""name"", ""priority"": 2, ""provenance"": ""candidate.representative_name""}, {""text"": ""0"", ""kind"": ""mw"", ""priority"": 4, ""provenance"": ""candidate.representative_mw""}]",259994,,DNIAPMSPPWPWGF-GSVOUGTGSA-N,,C3H8O2,76.09,"(2R)-propane-1,2-diol","R-(-)-1,2-Propanediol",PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/259994,2026-04-29T17:25:42.144701+00:00,2026-04-29T17:25:42.144701+00:00,0.9100,matched,pubchem_name,synonym_name_match;inchi_supported,1,21,false,7bcfe1cdfc6c2d2b186e234a925ed88d85b665d56593a4afee2662f1dbe94880,
cmpcand_a949df509dccfe3b,cas_name::37279_84_8::betalain,ready,1,"[{""text"": ""37279-84-8"", ""kind"": ""cas"", ""priority"": 1, ""provenance"": ""candidate.representative_cas_id""}, {""text"": ""Betalain"", ""kind"": ""name"", ""priority"": 2, ""provenance"": ""candidate.representative_name""}, {""text"": ""0"", ""kind"": ""mw"", ""priority"": 4, ""provenance"": ""candidate.representative_mw""}]",56841626,,DHHFDKNIEVKVKS-MLZDZRTESA-N,,C24H26N2O13,550.5,"(2R)-1-[(2E)-2-(2,6-dicarboxy-2,3-dihydro-1H-pyridin-4-ylidene)ethylidene]-6-hydroxy-5-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,3-dihydroindol-1-ium-2-carboxylate",Betalains,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/56841626,2026-04-29T17:25:56.497285+00:00,2026-04-29T17:25:56.497285+00:00,0.9900,matched,pubchem_cas,exact_cas_or_synonym;inchi_supported;cas_name_support,1,11,false,e22b987298614920dc325415365c88bbcf8020c1d3113b17a01ab1cc829b7af8,
cmpcand_8e3312b0889b9ed7,cas_name::99753_13_6::trigofoenoside_e,ready,1,"[{""text"": ""99753-13-6"", ""kind"": ""cas"", ""priority"": 1, ""provenance"": ""candidate.representative_cas_id""}, {""text"": ""Trigofoenoside E"", ""kind"": ""name"", ""priority"": 2, ""provenance"": ""candidate.representative_name""}, {""text"": ""0"", ""kind"": ""mw"", ""priority"": 4, ""provenance"": ""candidate.representative_mw""}]",,CHEMBL107595,BHZSSYKATBTKQN-TVQRCGJNSA-N,O=C(O)c1c(=O)c2cc(F)c(N3C[C@@H]4CCCN[C@@H]4C3)c3c2n2c(csc12)CS3,,431.51,,Trigofoenoside E,ChEMBL,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL107595,2026-04-29T17:26:41.561601+00:00,2026-04-29T17:26:41.561601+00:00,0.3000,ambiguous,chembl_name,name_no_direct_match;low_confidence_tie,1,20,false,0ae0b1ee1e0c73a361bfe569746d2cb819d642562bac9c1b5652cce57d21ae63,low_confidence_tie;name_no_direct_match
cmpcand_f33797b9321194b4,cas_name_formula::100016_94_2::sesamolinol::c20h20o7,ready,1,"[{""text"": ""100016-94-2"", ""kind"": ""cas"", ""priority"": 1, ""provenance"": ""candidate.representative_cas_id""}, {""text"": ""Sesamolinol"", ""kind"": ""name"", ""priority"": 2, ""provenance"": ""candidate.representative_name""}, {""text"": ""C20H20O7"", ""kind"": ""formula"", ""priority"": 3, ""provenance"": ""candidate.representative_formula""}, {""text"": ""372.120903"", ""kind"": ""mw"", ""priority"": 4, ""provenance"": ""candidate.representative_mw""}]",443019,,OJVGWDJIYBTWDS-AFHBHXEDSA-N,,C20H20O7,372.4,"4-[[(3S,3aR,6R,6aR)-3-(1,3-benzodioxol-5-yl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-6-yl]oxy]-2-methoxyphenol","(1R,3aR,4S,6aR)-4-((4-(1,3-Benzodioxol-5-yl)tetrahydro-1H,3H-furo(3,4-c)furan-1-yl)oxy)-2-methoxyphenol",PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/443019,2026-04-29T17:27:18.765028+00:00,2026-04-29T17:27:18.765028+00:00,0.9900,matched,pubchem_cas,exact_cas_or_synonym;inchi_supported;name_formula_support;cas_name_support;cas_formula_support;mw_support,1,21,false,5ffb60bfa57e6b326d32e650bcf8939975d88bb91eb0c0f4c87ad85c9973aad6,
cmpcand_763c437e8ff7181a,cas_name_formula::1000415_55_3::8_hydroxy_3_4_5_6_7_pentamethoxyflavone::c20h20o8,ready,1,"[{""text"": ""1000415-55-3"", ""kind"": ""cas"", ""priority"": 1, ""provenance"": ""candidate.representative_cas_id""}, {""text"": ""8-Hydroxy-3',4',5,6,7-pentamethoxyflavone"", ""kind"": ""name"", ""priority"": 2, ""provenance"": ""candidate.representative_name""}, {""text"": ""C20H20O8"", ""kind"": ""formula"", ""priority"": 3, ""provenance"": ""candidate.representative_formula""}, {""text"": ""388.115818"", ""kind"": ""mw"", ""priority"": 4, ""provenance"": ""candidate.representative_mw""}]",163183962,,ZXIGNVHISSXSRV-UHFFFAOYSA-N,,C20H20O8,388.4,"2-(3,4-dimethoxyphenyl)-8-hydroxy-5,6,7-trimethoxychromen-4-one","8-Hydroxy-3',4',5,6,7-pentamethoxyflavone",PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/163183962,2026-04-29T17:28:16.988639+00:00,2026-04-29T17:28:16.988639+00:00,0.9900,matched,pubchem_cas,exact_cas_or_synonym;inchi_supported;name_formula_support;cas_name_support;cas_formula_support;mw_support,1,30,false,ed7182991d33e96f757901365180e2152973e0373ab6a93500f02d5e0723093e,
