compound_candidate_id,candidate_key,candidate_status,search_priority,search_terms_json,pubchem_cid,chembl_id,inchi_key,connectivity_key,smiles,molecular_formula,molecular_weight,tpsa,logp,hbond_donors,hbond_acceptors,rotatable_bonds,qed_score,np_likeness_score,num_ro5_violations,iupac_name,preferred_name,source_name,source_url,source_batch_id,retrieved_at,enrichment_confidence,enrichment_status,match_strategy,evidence_type,match_reason,match_rank,match_count,cache_hit,cache_key,review_reason,lipinski_source,is_pains_positive
cmpcand_8ed6995db2011230,cas_name::11014145::indicinine,ready,1,"[{""text"": ""11014-14-5"", ""kind"": ""cas"", ""priority"": 1, ""provenance"": ""candidate.representative_cas_id""}, {""text"": ""Indicinine"", ""kind"": ""name"", ""priority"": 2, ""provenance"": ""candidate.representative_name""}, {""text"": ""0"", ""kind"": ""mw"", ""priority"": 4, ""provenance"": ""candidate.representative_mw""}]",,,,,,,,,,,,,,,,,,,,2026-07-14T10:41:46.072981+00:00,2026-07-14T10:41:46.072981+00:00,0.3000,review,rejected_ambiguous_tie,ambiguous,rejected_ambiguous_tie;best=ChEMBL:CHEMBL1795550;score=0.30,,5,false,e8227c925e48fe09a6a738ed3393b8d8154cafc7d5b79037b8f7bc62666df8f0,,,
cmpcand_cbbc0bd664b857b0,cas_name::130525734::uronic_acid,ready,1,"[{""text"": ""130525-73-4"", ""kind"": ""cas"", ""priority"": 1, ""provenance"": ""candidate.representative_cas_id""}, {""text"": ""Uronic acid"", ""kind"": ""name"", ""priority"": 2, ""provenance"": ""candidate.representative_name""}, {""text"": ""0"", ""kind"": ""mw"", ""priority"": 4, ""provenance"": ""candidate.representative_mw""}]",,,,,,,,,,,,,,,,,,,,2026-07-14T10:41:46.068978+00:00,2026-07-14T10:41:46.068978+00:00,0.3000,review,rejected_ambiguous_tie,ambiguous,rejected_ambiguous_tie;best=ChEMBL:CHEMBL3644322;score=0.30,,5,false,187e8876d94afc979c3382482cd61a2479fd818a0b602dc23db0ce2b39f1d09b,,,
cmpcand_7c0c8b884f7c6ed1,cas_name::131641504::meliacin,ready,1,"[{""text"": ""131641-50-4"", ""kind"": ""cas"", ""priority"": 1, ""provenance"": ""candidate.representative_cas_id""}, {""text"": ""Meliacin"", ""kind"": ""name"", ""priority"": 2, ""provenance"": ""candidate.representative_name""}, {""text"": ""0"", ""kind"": ""mw"", ""priority"": 4, ""provenance"": ""candidate.representative_mw""}]",,,,,,,,,,,,,,,,,,,,2026-07-14T10:41:46.057965+00:00,2026-07-14T10:41:46.057965+00:00,0.3000,review,rejected_ambiguous_tie,ambiguous,rejected_ambiguous_tie;best=ChEMBL:CHEMBL3644307;score=0.30,,5,false,a65acfe02bf866762af98706bb5f8c0468e336000f22b456b0f575f1f323dfac,,,
cmpcand_1691251c996fac5f,cas_name::1392401::melanthin,ready,1,"[{""text"": ""1392-40-1"", ""kind"": ""cas"", ""priority"": 1, ""provenance"": ""candidate.representative_cas_id""}, {""text"": ""Melanthin"", ""kind"": ""name"", ""priority"": 2, ""provenance"": ""candidate.representative_name""}, {""text"": ""0"", ""kind"": ""mw"", ""priority"": 4, ""provenance"": ""candidate.representative_mw""}]",,,,,,,,,,,,,,,,,,,,2026-07-14T10:41:46.083786+00:00,2026-07-14T10:41:46.083786+00:00,0.3000,review,rejected_ambiguous_tie,ambiguous,rejected_ambiguous_tie;best=ChEMBL:CHEMBL5741852;score=0.30,,5,false,846fc7feb4ddcd67ad86189dca6eb129059e7a29e70f89b997420dd1c256ee38,,,
cmpcand_4041bc4c139ee49d,cas_name::1407803::nimbidin,ready,1,"[{""text"": ""1407-80-3"", ""kind"": ""cas"", ""priority"": 1, ""provenance"": ""candidate.representative_cas_id""}, {""text"": ""Nimbidin"", ""kind"": ""name"", ""priority"": 2, ""provenance"": ""candidate.representative_name""}, {""text"": ""0"", ""kind"": ""mw"", ""priority"": 4, ""provenance"": ""candidate.representative_mw""}]",,,,,,,,,,,,,,,,,,,,2026-07-14T10:41:46.074448+00:00,2026-07-14T10:41:46.074448+00:00,0.3000,review,rejected_ambiguous_tie,ambiguous,rejected_ambiguous_tie;best=ChEMBL:CHEMBL3937052;score=0.30,,5,false,747fbe924c9f0e07689227c5efafea4717b43cc509d136c852ae0aacb37d7e2c,,,
cmpcand_b98b3ebb1548cd58,cas_name::308061349::aliphatic_alcohol,ready,1,"[{""text"": ""308061-34-9"", ""kind"": ""cas"", ""priority"": 1, ""provenance"": ""candidate.representative_cas_id""}, {""text"": ""Aliphatic alcohol"", ""kind"": ""name"", ""priority"": 2, ""provenance"": ""candidate.representative_name""}, {""text"": ""0"", ""kind"": ""mw"", ""priority"": 4, ""provenance"": ""candidate.representative_mw""}]",,,,,,,,,,,,,,,,,,,,2026-07-14T10:41:46.081787+00:00,2026-07-14T10:41:46.081787+00:00,0.3000,review,rejected_name_only,name_only,rejected_name_only;best=PubChem:259994;score=0.91,,4,false,ef4dde960c79a233e9884cff2e4ef9bfb10dc793ba555f55e9e6d002779db509,,,
cmpcand_398f55512871162f,cas_name::37279848::betalain,ready,1,"[{""text"": ""37279-84-8"", ""kind"": ""cas"", ""priority"": 1, ""provenance"": ""candidate.representative_cas_id""}, {""text"": ""Betalain"", ""kind"": ""name"", ""priority"": 2, ""provenance"": ""candidate.representative_name""}, {""text"": ""0"", ""kind"": ""mw"", ""priority"": 4, ""provenance"": ""candidate.representative_mw""}]",,,,,,,,,,,,,,,,,,,,2026-07-14T10:41:46.138471+00:00,2026-07-14T10:41:46.138471+00:00,0.3000,review,rejected_name_only,name_only,rejected_name_only;best=PubChem:56841626;score=0.99,,2,false,d5b052fa837bd44f51d02cfd430442165bc7434ced1069dd9b5f57a252d67b87,,,
cmpcand_3be7880e918a127b,cas_name::99753136::trigofoenoside_e,ready,1,"[{""text"": ""99753-13-6"", ""kind"": ""cas"", ""priority"": 1, ""provenance"": ""candidate.representative_cas_id""}, {""text"": ""Trigofoenoside E"", ""kind"": ""name"", ""priority"": 2, ""provenance"": ""candidate.representative_name""}, {""text"": ""0"", ""kind"": ""mw"", ""priority"": 4, ""provenance"": ""candidate.representative_mw""}]",,,,,,,,,,,,,,,,,,,,2026-07-14T10:41:46.238196+00:00,2026-07-14T10:41:46.238196+00:00,0.3000,review,rejected_ambiguous_tie,ambiguous,rejected_ambiguous_tie;best=ChEMBL:CHEMBL1201189;score=0.30,,5,false,1b206f780ae5d1d684a42a77706ee4cc6dc337a261641c122cd56f56aed24ff3,,,
cmpcand_30c046df3d95dd88,cas_name_formula::100016942::sesamolinol::c20h20o7,ready,1,"[{""text"": ""100016-94-2"", ""kind"": ""cas"", ""priority"": 1, ""provenance"": ""candidate.representative_cas_id""}, {""text"": ""Sesamolinol"", ""kind"": ""name"", ""priority"": 2, ""provenance"": ""candidate.representative_name""}, {""text"": ""C20H20O7"", ""kind"": ""formula"", ""priority"": 3, ""provenance"": ""candidate.representative_formula""}, {""text"": ""372.120903"", ""kind"": ""mw"", ""priority"": 4, ""provenance"": ""candidate.representative_mw""}]",,,OJVGWDJIYBTWDS-AFHBHXEDSA-N,OJVGWDJIYBTWDS,COc1cc(O[C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc3c(c2)OCO3)ccc1O,C20H20O7,372.373,75.61,2.8685,1,7,4,,1.4337,,,Sesamolinol,KNApSAcK World,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00002626,2026-07-14T10:41:46.078448+00:00,2026-07-14T10:41:46.078448+00:00,0.9700,matched,knapsack_source_confirmed,knapsack+formula,knapsack_source_confirmed;c_id=C00002626;formula_confirmed;knapsack_inchikey_recompute_disagreement,1,1,false,99fe595e5cb4a233d1fab72398c4403236ba70b84be17981e64f9fee139ecec4,,rdkit_computed,false
cmpcand_207565d38967bdb3,cas_name_formula::1000415553::8hydroxy34567pentamethoxyflavone::c20h20o8,ready,1,"[{""text"": ""1000415-55-3"", ""kind"": ""cas"", ""priority"": 1, ""provenance"": ""candidate.representative_cas_id""}, {""text"": ""8-Hydroxy-3',4',5,6,7-pentamethoxyflavone"", ""kind"": ""name"", ""priority"": 2, ""provenance"": ""candidate.representative_name""}, {""text"": ""C20H20O8"", ""kind"": ""formula"", ""priority"": 3, ""provenance"": ""candidate.representative_formula""}, {""text"": ""388.115818"", ""kind"": ""mw"", ""priority"": 4, ""provenance"": ""candidate.representative_mw""}]",,,ZXIGNVHISSXSRV-UHFFFAOYSA-N,ZXIGNVHISSXSRV,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(O)c3o2)cc1OC,C20H20O8,388.372,96.59,3.2086,1,8,6,,1.1185,,,"8-Hydroxy-3',4',5,6,7-pentamethoxyflavone",KNApSAcK World,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00056297,2026-07-14T10:41:46.082787+00:00,2026-07-14T10:41:46.082787+00:00,0.9700,matched,knapsack_source_confirmed,knapsack+formula,knapsack_source_confirmed;c_id=C00056297;formula_confirmed,1,1,false,e0817817f12d7672b2c1f3111253873a298fdd23314d86336af4ad9a43e45e9b,,rdkit_computed,false
