compound_candidate_id,candidate_key,candidate_status,candidate_confidence,match_strategy,match_reason,match_rank,match_count,representative_name,representative_cas_id,representative_formula,representative_mw,review_reason,source_name,source_batch_id,retrieved_at,evidence_summary_json
cmpcand_8ed6995db2011230,cas_name::11014145::indicinine,ready,0.3000,chembl_name,name_no_direct_match;low_confidence_tie,1,10,Indicinine,11014-14-5,,0,low_confidence_tie;name_no_direct_match,ChEMBL,2026-05-24T15:01:59.150013+00:00,2026-05-24T15:01:59.150013+00:00,"{""member_count"": ""1"", ""candidate_review_reason"": """", ""enrichment_confidence"": ""0.3000"", ""cache_hit"": true}"
cmpcand_cbbc0bd664b857b0,cas_name::130525734::uronic_acid,ready,0.3000,chembl_name,name_no_direct_match;low_confidence_tie,1,20,Uronic acid,130525-73-4,,0,low_confidence_tie;name_no_direct_match,ChEMBL,2026-05-24T15:01:59.293303+00:00,2026-05-24T15:01:59.293303+00:00,"{""member_count"": ""1"", ""candidate_review_reason"": """", ""enrichment_confidence"": ""0.3000"", ""cache_hit"": true}"
cmpcand_7c0c8b884f7c6ed1,cas_name::131641504::meliacin,ready,0.3000,chembl_name,name_no_direct_match;low_confidence_tie,1,10,Meliacin,131641-50-4,,0,low_confidence_tie;name_no_direct_match,ChEMBL,2026-05-24T15:01:59.150013+00:00,2026-05-24T15:01:59.150013+00:00,"{""member_count"": ""1"", ""candidate_review_reason"": """", ""enrichment_confidence"": ""0.3000"", ""cache_hit"": true}"
cmpcand_1691251c996fac5f,cas_name::1392401::melanthin,ready,0.3000,chembl_name,name_no_direct_match;low_confidence_tie,1,10,Melanthin,1392-40-1,,0,low_confidence_tie;name_no_direct_match,ChEMBL,2026-05-24T15:01:59.156214+00:00,2026-05-24T15:01:59.156214+00:00,"{""member_count"": ""1"", ""candidate_review_reason"": """", ""enrichment_confidence"": ""0.3000"", ""cache_hit"": true}"
cmpcand_4041bc4c139ee49d,cas_name::1407803::nimbidin,ready,0.3000,chembl_name,name_no_direct_match;low_confidence_tie,1,10,Nimbidin,1407-80-3,,0,low_confidence_tie;name_no_direct_match,ChEMBL,2026-05-24T15:01:59.168508+00:00,2026-05-24T15:01:59.168508+00:00,"{""member_count"": ""1"", ""candidate_review_reason"": """", ""enrichment_confidence"": ""0.3000"", ""cache_hit"": true}"
cmpcand_3be7880e918a127b,cas_name::99753136::trigofoenoside_e,ready,0.3000,chembl_name,name_no_direct_match;low_confidence_tie,1,20,Trigofoenoside E,99753-13-6,,0,low_confidence_tie;name_no_direct_match,ChEMBL,2026-05-24T15:01:59.487773+00:00,2026-05-24T15:01:59.487773+00:00,"{""member_count"": ""1"", ""candidate_review_reason"": """", ""enrichment_confidence"": ""0.3000"", ""cache_hit"": true}"
cmpcand_30c046df3d95dd88,cas_name_formula::100016942::sesamolinol::c20h20o7,ready,0.9900,pubchem_cas,exact_cas_or_synonym;inchi_supported;name_formula_support;cas_name_support;cas_formula_support;mw_support;top_hits_too_close,1,21,Sesamolinol,100016-94-2,C20H20O7,372.120903,top_hits_too_close;exact_cas_or_synonym;inchi_supported;name_formula_support;cas_name_support;cas_formula_support;mw_support,PubChem,2026-05-24T15:01:59.530340+00:00,2026-05-24T15:01:59.530340+00:00,"{""member_count"": ""1"", ""candidate_review_reason"": """", ""enrichment_confidence"": ""0.9900"", ""cache_hit"": true}"
cmpcand_207565d38967bdb3,cas_name_formula::1000415553::8hydroxy34567pentamethoxyflavone::c20h20o8,ready,0.9900,pubchem_cas,exact_cas_or_synonym;inchi_supported;name_formula_support;cas_name_support;cas_formula_support;mw_support;top_hits_too_close,1,30,"8-Hydroxy-3',4',5,6,7-pentamethoxyflavone",1000415-55-3,C20H20O8,388.115818,top_hits_too_close;exact_cas_or_synonym;inchi_supported;name_formula_support;cas_name_support;cas_formula_support;mw_support,PubChem,2026-05-24T15:01:59.680080+00:00,2026-05-24T15:01:59.680080+00:00,"{""member_count"": ""1"", ""candidate_review_reason"": """", ""enrichment_confidence"": ""0.9900"", ""cache_hit"": true}"
cmpcand_b66d0a94401c53f9,cas_name_formula::1000415564::8hydroxy334567hexamethoxyflavone::c21h22o9,ready,0.9900,pubchem_cas,exact_cas_or_synonym;inchi_supported;name_formula_support;cas_name_support;cas_formula_support;mw_support;top_hits_too_close,1,29,"8-Hydroxy-3,3',4',5,6,7-hexamethoxyflavone",1000415-56-4,C21H22O9,418.126382,top_hits_too_close;exact_cas_or_synonym;inchi_supported;name_formula_support;cas_name_support;cas_formula_support;mw_support,PubChem,2026-05-24T15:01:59.744193+00:00,2026-05-24T15:01:59.744193+00:00,"{""member_count"": ""1"", ""candidate_review_reason"": """", ""enrichment_confidence"": ""0.9900"", ""cache_hit"": true}"
cmpcand_ba13fbe9eef00a26,cas_name_formula::100061::4methoxyacetophenone::c9h10o2,ready,0.9900,pubchem_cas,exact_cas_or_synonym;inchi_supported;name_formula_support;cas_name_support;cas_formula_support;mw_support;top_hits_too_close,1,31,4'-Methoxyacetophenone,100-06-1,C9H10O2,150.06808,support_bonus=0.02;top_hits_too_close;exact_cas_or_synonym;inchi_supported;name_formula_support;cas_name_support;cas_formula_support;mw_support,PubChem,2026-05-24T15:01:59.823376+00:00,2026-05-24T15:01:59.823376+00:00,"{""member_count"": ""2"", ""candidate_review_reason"": ""support_bonus=0.02"", ""enrichment_confidence"": ""0.9900"", ""cache_hit"": true}"
