plant_compound_review_id,compound_candidate_id,compound_id,canonical_key,candidate_status,enrichment_status,plant_id,canonical_plant_id,source_compound_key,source_plant_raw_id,source_name,source_batch_id,retrieved_at,issue_type,issue_reason,evidence_summary_json
cmprev_285393d6ef7e0b42,cmpcand_00c929e5637b4702,d73cfd69-de34-53f1-a566-229fe4ea8f85,inchi::XWTCRKNSJARUIU-UHFFFAOYSA-N,ready,conflict,175,,4c0aeec6b3dec32204a3e123d743cc81cef5474fcd46184baac73672e7956798,175,PubChem,2026-05-24T15:05:42.738345+00:00,2026-05-24T15:05:42.738345+00:00,unmapped_plant_reference,member_map_missing_canonical_plant_id,"{""candidate_id"": ""cmpcand_00c929e5637b4702"", ""compound_id"": ""d73cfd69-de34-53f1-a566-229fe4ea8f85"", ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_d93162966f09ad17""], ""missing_member_count"": 1, ""raw_plant_ids_preview"": [""175""], ""source_compound_keys_preview"": [""4c0aeec6b3dec32204a3e123d743cc81cef5474fcd46184baac73672e7956798""]}"
cmprev_cb36bb750b163ea2,cmpcand_00f02d1e763ddb6a,507c3fa4-b4b6-5a0b-89ed-3faed25174af,inchi::MQLSOVRLZHTATK-PEYNGXJCSA-N,ready,conflict,429,,a9b1e6d82eaec7aa1cdc3780b19c174dad6f0aa844ec9535c402d17327919113,429,PubChem,2026-05-24T15:07:21.356255+00:00,2026-05-24T15:07:21.356255+00:00,unmapped_plant_reference,member_map_missing_canonical_plant_id,"{""candidate_id"": ""cmpcand_00f02d1e763ddb6a"", ""compound_id"": ""507c3fa4-b4b6-5a0b-89ed-3faed25174af"", ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_5efde5e12cc7d4cd""], ""missing_member_count"": 1, ""raw_plant_ids_preview"": [""429""], ""source_compound_keys_preview"": [""a9b1e6d82eaec7aa1cdc3780b19c174dad6f0aa844ec9535c402d17327919113""]}"
cmprev_fd1e088fdb2fb666,cmpcand_01206ef53bf18cd9,7e8aaf66-7244-51ea-819f-bbe0152a907d,inchi::WQZGKKKJIJFFOK-DVKNGEFBSA-N,ready,conflict,155,,f0c011f3066a462572dee1f813b4a7a5ce3a83f745e756a2a228c3e75048cf98,155,ChEMBL,2026-05-24T15:06:35.819079+00:00,2026-05-24T15:06:35.819079+00:00,unmapped_plant_reference,member_map_missing_canonical_plant_id,"{""candidate_id"": ""cmpcand_01206ef53bf18cd9"", ""compound_id"": ""7e8aaf66-7244-51ea-819f-bbe0152a907d"", ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_d31c9c8b79917ddf""], ""missing_member_count"": 1, ""raw_plant_ids_preview"": [""155""], ""source_compound_keys_preview"": [""f0c011f3066a462572dee1f813b4a7a5ce3a83f745e756a2a228c3e75048cf98""]}"
cmprev_5837b57e903c7ce9,cmpcand_01833bfbf11b6600,7a0a3432-9410-5280-ac0c-74940782765a,inchi::QMMFVYPAHWMCMS-UHFFFAOYSA-N,ready,conflict,139,,25edfa24424e04cb6e87a6583daa23d5f9b0aecd446eb051f96120f44a2edda2,139,ChEMBL,2026-05-24T15:08:15.799012+00:00,2026-05-24T15:08:15.799012+00:00,unmapped_plant_reference,member_map_missing_canonical_plant_id,"{""candidate_id"": ""cmpcand_01833bfbf11b6600"", ""compound_id"": ""7a0a3432-9410-5280-ac0c-74940782765a"", ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_a04b9d21dbaaec52""], ""missing_member_count"": 1, ""raw_plant_ids_preview"": [""139""], ""source_compound_keys_preview"": [""25edfa24424e04cb6e87a6583daa23d5f9b0aecd446eb051f96120f44a2edda2""]}"
cmprev_3a736ff29d89f20b,cmpcand_01d5a1ab29bda4c8,0fb42c2a-e261-55b8-bf4b-c3fcc8e4ff83,inchi::VNGUCOGHCJHFID-FLZFTVBESA-N,ready,conflict,384,,57602efb91ba742eba3009335b5ac0675e0bdc979ba32711ce2777492a964fcc,384,PubChem,2026-05-24T15:07:25.576432+00:00,2026-05-24T15:07:25.576432+00:00,unmapped_plant_reference,member_map_missing_canonical_plant_id,"{""candidate_id"": ""cmpcand_01d5a1ab29bda4c8"", ""compound_id"": ""0fb42c2a-e261-55b8-bf4b-c3fcc8e4ff83"", ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_a420c808d5503af8""], ""missing_member_count"": 1, ""raw_plant_ids_preview"": [""384""], ""source_compound_keys_preview"": [""57602efb91ba742eba3009335b5ac0675e0bdc979ba32711ce2777492a964fcc""]}"
cmprev_0b99210922c21b7b,cmpcand_0276e310f430bcab,fc1e36bc-958e-5d32-ae64-bd743cfed459,inchi::MOJZMWJRUKIQGL-XILRTYJMSA-N,ready,conflict,120,,f1458056aa0215ca552ec42e3f9d2929d5a11fe3d24302b1b558edc75c22024e,120;122,ChEMBL,2026-05-24T15:07:47.386352+00:00,2026-05-24T15:07:47.386352+00:00,unmapped_plant_reference,member_map_missing_canonical_plant_id,"{""candidate_id"": ""cmpcand_0276e310f430bcab"", ""compound_id"": ""fc1e36bc-958e-5d32-ae64-bd743cfed459"", ""member_count"": 2, ""member_ids_preview"": [""cmpcandm_970b83d8f1c44da6"", ""cmpcandm_e46fee5354a9bf69""], ""missing_member_count"": 2, ""raw_plant_ids_preview"": [""120"", ""122""], ""source_compound_keys_preview"": [""f1458056aa0215ca552ec42e3f9d2929d5a11fe3d24302b1b558edc75c22024e"", ""b733768eee2d8042288a8675970c9bab7e45ec964f6cd0baebdce276e8beb975""]}"
cmprev_a922035c4e4d3bcc,cmpcand_02834687d83045b2,bc0d25d5-c1ea-500f-93f5-a850848248e0,inchi::CJHDBEPXEKGBDW-VMPITWQZSA-N,ready,conflict,381,,4d72aee35c1241e0c41a56047620cd34c3a7fa772b23d84641e7c3d8d3637e36,381,ChEMBL,2026-05-24T15:05:50.004389+00:00,2026-05-24T15:05:50.004389+00:00,unmapped_plant_reference,member_map_missing_canonical_plant_id,"{""candidate_id"": ""cmpcand_02834687d83045b2"", ""compound_id"": ""bc0d25d5-c1ea-500f-93f5-a850848248e0"", ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_0ad6e6c7284a9831""], ""missing_member_count"": 1, ""raw_plant_ids_preview"": [""381""], ""source_compound_keys_preview"": [""4d72aee35c1241e0c41a56047620cd34c3a7fa772b23d84641e7c3d8d3637e36""]}"
cmprev_e513ded558310e19,cmpcand_028dc935cb973a88,feede003-773b-55f4-8dc7-ebd732072089,inchi::SOWISUOFXLRAML-UHFFFAOYSA-N,ready,conflict,107,,d5e08df7b0a70300a4a116259e91bc6fd973a6b1f6d519b64b3214d0457a5bf3,107,PubChem,2026-05-24T15:03:08.573426+00:00,2026-05-24T15:03:08.573426+00:00,unmapped_plant_reference,member_map_missing_canonical_plant_id,"{""candidate_id"": ""cmpcand_028dc935cb973a88"", ""compound_id"": ""feede003-773b-55f4-8dc7-ebd732072089"", ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_2d934d603a223119""], ""missing_member_count"": 1, ""raw_plant_ids_preview"": [""107""], ""source_compound_keys_preview"": [""d5e08df7b0a70300a4a116259e91bc6fd973a6b1f6d519b64b3214d0457a5bf3""]}"
cmprev_935b206c1de7779f,cmpcand_029863a8a5a1d414,50fa0667-2e28-5694-b8c0-14b11a11d6ca,inchi::JXOHGGNKMLTUBP-HSUXUTPPSA-N,ready,conflict,155,,0fb9c1c96b56c85424556822d4bfd7dede058226b581845015f9114114e09040,155,ChEMBL,2026-05-24T15:03:41.449556+00:00,2026-05-24T15:03:41.449556+00:00,unmapped_plant_reference,member_map_missing_canonical_plant_id,"{""candidate_id"": ""cmpcand_029863a8a5a1d414"", ""compound_id"": ""50fa0667-2e28-5694-b8c0-14b11a11d6ca"", ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_6defdeeee5969832""], ""missing_member_count"": 1, ""raw_plant_ids_preview"": [""155""], ""source_compound_keys_preview"": [""0fb9c1c96b56c85424556822d4bfd7dede058226b581845015f9114114e09040""]}"
cmprev_00f079d820a2deed,cmpcand_02cbea2a232252f7,aaa2c31e-99af-5f83-800b-cbe221af2398,inchi::SESFRYSPDFLNCH-UHFFFAOYSA-N,ready,conflict,122,,bf091602ed4e8acdc42f11b2d6c038b33d16245fdd8474f2540accee042fbf41,122,ChEMBL,2026-05-24T15:03:09.584492+00:00,2026-05-24T15:03:09.584492+00:00,unmapped_plant_reference,member_map_missing_canonical_plant_id,"{""candidate_id"": ""cmpcand_02cbea2a232252f7"", ""compound_id"": ""aaa2c31e-99af-5f83-800b-cbe221af2398"", ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_1536b9650f3e0480""], ""missing_member_count"": 1, ""raw_plant_ids_preview"": [""122""], ""source_compound_keys_preview"": [""bf091602ed4e8acdc42f11b2d6c038b33d16245fdd8474f2540accee042fbf41""]}"
