compound_alias_id,compound_id,alias_name,alias_key,alias_type,retrieved_at
a8a0d5e2-e437-5a9f-b943-43cfd21d8899,00054ddd-f871-506d-9b46-15e5e3574922,55399-77-4,55399_77_4,cas_id,2026-07-14T10:51:24.583142+00:00
59f82bbd-3d9e-56c6-8587-e8727b251503,00054ddd-f871-506d-9b46-15e5e3574922,C00050934,c00050934,source_compound_id,2026-07-14T10:51:24.583142+00:00
d4f03eb6-4f8c-58b6-bf7e-bfa739f74a61,00054ddd-f871-506d-9b46-15e5e3574922,Isogentialutine,isogentialutine,canonical_name,2026-07-14T10:51:24.583142+00:00
7c7fcf9d-f15c-509f-b761-c02dfdf4f4f9,0005944d-5350-58cb-a0a6-f031eabaa46b,71135-79-0,71135_79_0,cas_id,2026-07-14T11:05:37.880224+00:00
92add47e-fe31-5b0b-8db7-77a373439bfa,0005944d-5350-58cb-a0a6-f031eabaa46b,C00015750,c00015750,source_compound_id,2026-07-14T11:05:37.880224+00:00
808db2f0-2d2c-5a15-bb25-09e1b1885e62,0005944d-5350-58cb-a0a6-f031eabaa46b,Cannabispiradienone,cannabispiradienone,canonical_name,2026-07-14T11:05:37.880224+00:00
b28857b4-fb83-5e58-aac9-f6993e864c44,00074d62-0483-5d34-a03b-40b4950b4641,71593-11-8,71593_11_8,cas_id,2026-07-14T11:07:28.482779+00:00
114011b8-f6d2-58fa-9f00-510ad14f0980,00074d62-0483-5d34-a03b-40b4950b4641,Abruquinone C,abruquinone_c,canonical_name,2026-07-14T11:07:28.482779+00:00
754e29d3-79c3-574f-89de-2336f9161aeb,00074d62-0483-5d34-a03b-40b4950b4641,C00009746,c00009746,source_compound_id,2026-07-14T11:07:28.482779+00:00
02fd27bc-c9e0-550f-aa05-3b1fb156e2bd,00087cdb-d462-5854-846d-dd9a853ab8db,69567-10-8,69567_10_8,cas_id,2026-07-14T11:01:30.965273+00:00
013d1571-65f2-5fc6-8415-04b09aebc1f3,00087cdb-d462-5854-846d-dd9a853ab8db,C00051703,c00051703,source_compound_id,2026-07-14T11:01:30.965273+00:00
f21ea10b-b325-5522-9b66-3c94971c51a4,00087cdb-d462-5854-846d-dd9a853ab8db,N-Methyl-1-deoxynojirimycin,n_methyl_1_deoxynojirimycin,canonical_name,2026-07-14T11:01:30.965273+00:00
38e4c8f7-3818-5ed3-bd95-8df1ecdcbef2,00098f8c-7ef2-5790-bf2e-8e1020c88c2a,1158305-92-0,1158305_92_0,cas_id,2026-07-14T10:42:36.181246+00:00
da062c6d-a8d3-5709-b8ae-a290d8928665,00098f8c-7ef2-5790-bf2e-8e1020c88c2a,C00057785,c00057785,source_compound_id,2026-07-14T10:42:36.181246+00:00
3f8c69d4-66b2-5808-930c-109429315c6d,00098f8c-7ef2-5790-bf2e-8e1020c88c2a,Tulsinol B,tulsinol_b,canonical_name,2026-07-14T10:42:36.181246+00:00
19879ab2-9439-52bb-8d5e-c13ca5a87a98,00261e82-650e-5000-b623-73c5476fdd07,5949-05-3,5949_05_3,cas_id,2026-07-14T10:52:16.683279+00:00
05daf571-89cb-55ca-84b5-a663bceb2622,00261e82-650e-5000-b623-73c5476fdd07,C00010309,c00010309,source_compound_id,2026-07-14T10:52:16.683279+00:00
9d5e1cb3-ac95-50df-944a-63fe92cd8eed,00261e82-650e-5000-b623-73c5476fdd07,(-)-S-Citronellal,s_citronellal,canonical_name,2026-07-14T10:52:16.683279+00:00
064eaf30-3fd3-5bce-81c8-9fa6988b0af5,00282f6b-8a6b-5f45-ba7c-1c466263d655,10042-59-8,10042_59_8,cas_id,2026-07-14T10:41:50.204638+00:00
de6dc03e-ea1c-505b-9653-81771b77b297,00282f6b-8a6b-5f45-ba7c-1c466263d655,2-Propylheptanol,2_propylheptanol,canonical_name,2026-07-14T10:41:50.204638+00:00
02ea2bc1-4f30-5f35-beec-06e962d4e8ef,00282f6b-8a6b-5f45-ba7c-1c466263d655,C00052661,c00052661,source_compound_id,2026-07-14T10:41:50.204638+00:00
7103c32b-47c8-5922-a3eb-f3347af2c439,00290741-03d5-5c51-bc14-bbde69f070d5,249915-34-2,249915_34_2,cas_id,2026-07-14T10:45:55.825216+00:00
35320071-b2ed-56e2-b515-e973bf16ee34,00290741-03d5-5c51-bc14-bbde69f070d5,C00014274,c00014274,source_compound_id,2026-07-14T10:45:55.825216+00:00
ccc0a74b-04c1-55ed-8e8a-017f995c759f,00290741-03d5-5c51-bc14-bbde69f070d5,Leucadenone A,leucadenone_a,canonical_name,2026-07-14T10:45:55.825216+00:00
