plant_compound_review_id,compound_candidate_id,compound_id,canonical_key,candidate_status,enrichment_status,plant_id,canonical_plant_id,source_compound_key,source_plant_raw_id,source_name,source_batch_id,retrieved_at,issue_type,issue_reason,evidence_summary_json
cmprev_002135756d4ec772,cmpcand_5465e5f0b7d78493,d18b5f96-1465-5467-83f1-890615310227,inchikey:HKEAFJYKMMKDOR-SZSUEBNWSA-N,ready,matched,521,,f952d83dabf0e550dc0feb81858451c2238e61cb5e426c73f18906353d1eca73,521,KNApSAcK World,2026-07-14T10:48:13.236885+00:00,2026-07-14T10:48:13.236885+00:00,unmapped_plant_reference,member_map_missing_canonical_plant_id,"{""candidate_id"": ""cmpcand_5465e5f0b7d78493"", ""compound_id"": ""d18b5f96-1465-5467-83f1-890615310227"", ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_a646c10e89598a2c""], ""missing_member_count"": 1, ""raw_plant_ids_preview"": [""521""], ""source_compound_keys_preview"": [""f952d83dabf0e550dc0feb81858451c2238e61cb5e426c73f18906353d1eca73""]}"
cmprev_0063beafb3e47f13,cmpcand_a3e41f54fa8f4df0,8cdbc5c9-d73a-501c-9ae9-41f8d46f8791,inchikey:JUJWROOIHBZHMG-UHFFFAOYSA-N,ready,matched,139,,98da82781a1a0a85b26b6a77ca2fcf98388c0031b904e31e0e9772e4bb244be4,139,KNApSAcK World,2026-07-14T10:42:25.321049+00:00,2026-07-14T10:42:25.321049+00:00,unmapped_plant_reference,member_map_missing_canonical_plant_id,"{""candidate_id"": ""cmpcand_a3e41f54fa8f4df0"", ""compound_id"": ""8cdbc5c9-d73a-501c-9ae9-41f8d46f8791"", ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_7d1756ef7a63ef94""], ""missing_member_count"": 1, ""raw_plant_ids_preview"": [""139""], ""source_compound_keys_preview"": [""98da82781a1a0a85b26b6a77ca2fcf98388c0031b904e31e0e9772e4bb244be4""]}"
cmprev_00940ab1ec06f293,cmpcand_ea411b069adcc83a,e2548637-7adf-55cf-9f01-5c9167312464,inchikey:WCGUUGGRBIKTOS-GPOJBZKASA-N,ready,matched,364,,7f72cd096f82458a20a9a77931ab5108460e30ed2a1290ae4a3dc0357eff590e,364,KNApSAcK World,2026-07-14T11:19:46.454076+00:00,2026-07-14T11:19:46.454076+00:00,unmapped_plant_reference,member_map_missing_canonical_plant_id,"{""candidate_id"": ""cmpcand_ea411b069adcc83a"", ""compound_id"": ""e2548637-7adf-55cf-9f01-5c9167312464"", ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_9f6f430be71b7cc1""], ""missing_member_count"": 1, ""raw_plant_ids_preview"": [""364""], ""source_compound_keys_preview"": [""7f72cd096f82458a20a9a77931ab5108460e30ed2a1290ae4a3dc0357eff590e""]}"
cmprev_00987a3cfe8c7782,cmpcand_c80724caa50789bc,13ce77d0-9935-56ff-a9f1-bea2256d5ea9,inchikey:JTEXACAUXDMYDF-GAEDQJCFSA-N,ready,matched,234,,e528ac13bd22b0315ea408f364fc8444276aeb9a94c3c883e6351c6194f2cb3c,234,KNApSAcK World,2026-07-14T10:43:04.150631+00:00,2026-07-14T10:43:04.150631+00:00,unmapped_plant_reference,member_map_missing_canonical_plant_id,"{""candidate_id"": ""cmpcand_c80724caa50789bc"", ""compound_id"": ""13ce77d0-9935-56ff-a9f1-bea2256d5ea9"", ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_5fd3925a75b06ba2""], ""missing_member_count"": 1, ""raw_plant_ids_preview"": [""234""], ""source_compound_keys_preview"": [""e528ac13bd22b0315ea408f364fc8444276aeb9a94c3c883e6351c6194f2cb3c""]}"
cmprev_012ad18c906fb1e8,cmpcand_6a3d261f9997bb29,c823e3e1-c615-59fc-bd34-4ac8a0677022,inchikey:HJYHBSXUKUQLLJ-SPDOYUGHSA-N,ready,matched,429,,d6b7db6d137cde4bcb45a1644e1e1cf7e7402c4676431e55410ebb7c76faa077,429,KNApSAcK World,2026-07-14T10:43:25.825176+00:00,2026-07-14T10:43:25.825176+00:00,unmapped_plant_reference,member_map_missing_canonical_plant_id,"{""candidate_id"": ""cmpcand_6a3d261f9997bb29"", ""compound_id"": ""c823e3e1-c615-59fc-bd34-4ac8a0677022"", ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_5190c74b6ebde003""], ""missing_member_count"": 1, ""raw_plant_ids_preview"": [""429""], ""source_compound_keys_preview"": [""d6b7db6d137cde4bcb45a1644e1e1cf7e7402c4676431e55410ebb7c76faa077""]}"
cmprev_012d01dc331c3a79,cmpcand_4685ff434a7762bf,acb5478d-20a3-5154-aa29-684f282df528,inchikey:GYRDSOABOBCYST-HFAARYGVSA-N,ready,matched,234,,355c5ee83f6d80c52539ef3ad51843deb51512d88b751316cda8bf47915f867e,234,KNApSAcK World,2026-07-14T11:47:31.614205+00:00,2026-07-14T11:47:31.614205+00:00,unmapped_plant_reference,member_map_missing_canonical_plant_id,"{""candidate_id"": ""cmpcand_4685ff434a7762bf"", ""compound_id"": ""acb5478d-20a3-5154-aa29-684f282df528"", ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_5eb738c27157a525""], ""missing_member_count"": 1, ""raw_plant_ids_preview"": [""234""], ""source_compound_keys_preview"": [""355c5ee83f6d80c52539ef3ad51843deb51512d88b751316cda8bf47915f867e""]}"
cmprev_0130d412004d2937,cmpcand_6328351a94087ee1,391c99df-cd7f-52e3-8f89-2225ca85cf99,inchikey:IZXYHAXVIZHGJV-VHSXEESVSA-N,ready,matched,126,,8d32e4609175255f9c4ae1939e6d7287060ba11302cb34203000d1f8fff5486f,126,KNApSAcK World,2026-07-14T10:46:53.019673+00:00,2026-07-14T10:46:53.019673+00:00,unmapped_plant_reference,member_map_missing_canonical_plant_id,"{""candidate_id"": ""cmpcand_6328351a94087ee1"", ""compound_id"": ""391c99df-cd7f-52e3-8f89-2225ca85cf99"", ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_3df95d9b7a8675fc""], ""missing_member_count"": 1, ""raw_plant_ids_preview"": [""126""], ""source_compound_keys_preview"": [""8d32e4609175255f9c4ae1939e6d7287060ba11302cb34203000d1f8fff5486f""]}"
cmprev_0136f330eff0986a,cmpcand_6d14094215bfd5ba,9a90b903-214a-5925-9d01-3adf45e2dcbd,inchikey:SFUVCMKSYKHYLD-FNORWQNLSA-N,ready,matched,381,,be1d9aee78decc18e49d274e67017e5b453712cb64218b01a71b7015def927e1,381;126,KNApSAcK World,2026-07-14T10:50:07.379821+00:00,2026-07-14T10:50:07.379821+00:00,unmapped_plant_reference,member_map_missing_canonical_plant_id,"{""candidate_id"": ""cmpcand_6d14094215bfd5ba"", ""compound_id"": ""9a90b903-214a-5925-9d01-3adf45e2dcbd"", ""member_count"": 2, ""member_ids_preview"": [""cmpcandm_27f98f408effe9b7"", ""cmpcandm_9020212e735f81bb""], ""missing_member_count"": 2, ""raw_plant_ids_preview"": [""381"", ""126""], ""source_compound_keys_preview"": [""be1d9aee78decc18e49d274e67017e5b453712cb64218b01a71b7015def927e1"", ""23e70e5354b24f9c7223e085b4b3c87a690aafc082f773350b6c3d53ef0ee172""]}"
cmprev_0186467fdca6fe9a,cmpcand_ef53380799af0e3f,8c1d8162-0953-5c8c-adad-6a473b25d407,inchikey:CJPRYGHXZADIKU-KWKQKQFESA-N,ready,matched,234,,fc5c95030ca89c3907972d2c76cb29b68abcdfe5198a5587a69272daebec93a0,234,KNApSAcK World,2026-07-14T10:42:16.293352+00:00,2026-07-14T10:42:16.293352+00:00,unmapped_plant_reference,member_map_missing_canonical_plant_id,"{""candidate_id"": ""cmpcand_ef53380799af0e3f"", ""compound_id"": ""8c1d8162-0953-5c8c-adad-6a473b25d407"", ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_645aea911d503c89""], ""missing_member_count"": 1, ""raw_plant_ids_preview"": [""234""], ""source_compound_keys_preview"": [""fc5c95030ca89c3907972d2c76cb29b68abcdfe5198a5587a69272daebec93a0""]}"
cmprev_01b5c16fbb3393ed,cmpcand_1656b95e051c49d1,f67d0af2-56af-52ee-9990-cb6f118dfbef,inchikey:KZOBOICRKKYGAQ-VOMXGJAFSA-N,ready,matched,234,,108a7c0b980ffb1dfa952181a8df06d6321928ed15b13995bf18ca61b12171fa,234,KNApSAcK World,2026-07-14T10:49:45.316208+00:00,2026-07-14T10:49:45.316208+00:00,unmapped_plant_reference,member_map_missing_canonical_plant_id,"{""candidate_id"": ""cmpcand_1656b95e051c49d1"", ""compound_id"": ""f67d0af2-56af-52ee-9990-cb6f118dfbef"", ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_744cb28ee6a222a2""], ""missing_member_count"": 1, ""raw_plant_ids_preview"": [""234""], ""source_compound_keys_preview"": [""108a7c0b980ffb1dfa952181a8df06d6321928ed15b13995bf18ca61b12171fa""]}"
