compound_id,canonical_key,canonical_name,inchi_key,smiles,cas_id,pubchem_cid,chembl_id,molecular_formula,molecular_weight,tpsa,logp,hbond_donors,hbond_acceptors,rotatable_bonds,qed_score,np_likeness_score,num_ro5_violations,lipinski_source,source_name,source_url,retrieved_at,canonical_status,canonical_strategy,canonical_reason,evidence_count,plant_count,is_pains_positive
00018964-3725-5ec8-bf7e-2069ee4872c8,inchikey:QCOXYZFUHMUEIC-UHFFFAOYSA-N,Thymuside A,QCOXYZFUHMUEIC-UHFFFAOYSA-N,CCCC(=O)OCC1OC2OC(C)(C)OC2C2OC(C)(C)OC12,827039-96-3,,CHEMBL1965972,C16H26O7,330.38,72.45,1.73,0,7,4,0.73,0.84,0,,ChEMBL,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1965972,2026-06-02T13:24:42.488153+00:00,provisional,inchi_key,conflict_strong_identity_salvage;inchi_key;salvage_penalty;conflict:inchi_key;group_size=1;group_status=provisional;match_reason=exact_formula_match;inchi_supported;mw_support;top_hits_too_close,1,1,false
00074d62-0483-5d34-a03b-40b4950b4641,inchikey:JUJPNIDLVJQYEY-UHFFFAOYSA-N,"6-Hydroxy-7,8,3',4'-tetramethoxyisoflavanquinone",JUJPNIDLVJQYEY-UHFFFAOYSA-N,O=C(OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O)c1ccccc1,71593-11-8,44257520,,C19H20O8,376.4,125.68,0.4356,4,8,5,,1.263,,rdkit_computed+rdkit_np,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/44257520,2026-06-02T13:23:51.219764+00:00,provisional,inchi_key,conflict_strong_identity_salvage;inchi_key;salvage_penalty;conflict:inchi_key;group_size=1;group_status=provisional;match_reason=exact_formula_match;inchi_supported;name_formula_support;mw_support;top_hits_too_close,1,1,false
00087cdb-d462-5854-846d-dd9a853ab8db,inchikey:AAKDPDFZMNYDLR-XZBKPIIZSA-N,N-Methyl-1-Deoxynojirimycin,AAKDPDFZMNYDLR-XZBKPIIZSA-N,N[C@H]1C[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,69567-10-8,92381,,C7H15NO4,177.20,106.94,-2.5914,5,5,1,,2.2313,,rdkit_computed+rdkit_np,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/92381,2026-06-02T13:23:41.492982+00:00,provisional,inchi_key,conflict_strong_identity_salvage;inchi_key;salvage_penalty;conflict:inchi_key;group_size=1;group_status=provisional;match_reason=exact_cas_or_synonym;inchi_supported;name_formula_support;cas_name_support;cas_formula_support;mw_support;top_hits_too_close,1,1,false
00114f35-8bf2-5259-aaea-1d2a65e3b379,inchikey:RLVAVWQAAQFUOP-GNYBQDBLSA-N,PAPYRIFERIC ACID,RLVAVWQAAQFUOP-GNYBQDBLSA-N,CC(=O)O[C@@H]1C[C@@H]2[C@@]3(C)CC[C@@H](OC(=O)CC(=O)O)C(C)(C)[C@@H]3CC[C@@]2(C)[C@]2(C)CC[C@H]([C@]3(C)CC[C@H](C(C)(C)O)O3)[C@@H]12,108529-23-3,,CHEMBL224050,C35H56O8,604.83,119.36,6.31,2,7,6,0.27,2.93,2,,ChEMBL,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL224050,2026-06-02T13:13:14.771268+00:00,provisional,inchi_key,conflict_strong_identity_salvage;inchi_key;salvage_penalty;conflict:inchi_key;group_size=1;group_status=provisional;match_reason=exact_formula_match;inchi_supported;mw_support;top_hits_too_close,1,1,false
00261e82-650e-5000-b623-73c5476fdd07,inchikey:NEHNMFOYXAPHSD-JTQLQIEISA-N,(-)-CITRONELLAL,NEHNMFOYXAPHSD-JTQLQIEISA-N,CC(C)=CCC[C@H](C)CC=O,5949-05-3,,CHEMBL2426622,C10H18O,154.25,17.07,2.96,0,1,5,0.44,2.57,0,,ChEMBL,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2426622,2026-06-02T13:22:38.873117+00:00,provisional,inchi_key,conflict_strong_identity_salvage;inchi_key;salvage_penalty;conflict:inchi_key;group_size=1;group_status=provisional;match_reason=exact_formula_match;inchi_supported;mw_support;cross_source_inchikey;top_hits_too_close,1,1,false
00282f6b-8a6b-5f45-ba7c-1c466263d655,inchikey:YLQLIQIAXYRMDL-UHFFFAOYSA-N,2-Propylheptanol,YLQLIQIAXYRMDL-UHFFFAOYSA-N,CCCCCC(CO)CCC,10042-59-8,,CHEMBL3186950,C10H22O,158.28,20.23,2.98,1,1,7,0.56,1.61,0,,ChEMBL,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3186950,2026-06-02T13:12:12.990934+00:00,provisional,inchi_key,conflict_strong_identity_salvage;inchi_key;salvage_penalty;conflict:inchi_key;group_size=1;group_status=provisional;match_reason=exact_formula_match;inchi_supported;mw_support;cross_source_inchikey;top_hits_too_close,1,1,false
00290741-03d5-5c51-bc14-bbde69f070d5,inchikey:VAJKIKOYPOZJCO-ZZSQUNPWSA-N,Leucadenone A,VAJKIKOYPOZJCO-ZZSQUNPWSA-N,COc1ccc(C2CC(=O)C(C(c3ccc(O)cc3)C3C(=O)CC(c4ccc(OC)cc4)CC3=O)C(=O)C2)cc1,249915-34-2,15409090,,C33H32O7,540.6,106.97,5.157,1,7,7,,0.197,,rdkit_computed+rdkit_np,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/15409090,2026-06-02T13:18:22.050511+00:00,provisional,inchi_key,conflict_strong_identity_salvage;inchi_key;salvage_penalty;conflict:inchi_key;group_size=1;group_status=provisional;match_reason=exact_cas_or_synonym;inchi_supported;name_formula_support;cas_name_support;cas_formula_support;mw_support;top_hits_too_close,1,0,false
002a7865-047c-5d6c-8389-21b264c6a7a6,inchikey:WGCQDTNINMCFAY-HKVUYSFSSA-N,"5-Hydroxy-7,8-dimethoxyflavone 5-glucoside",WGCQDTNINMCFAY-HKVUYSFSSA-N,C=C(C=O)[C@@H]1Cc2oc(cc2C(=O)OC)[C@@H]2O[C@@]2(C)C[C@H]2OC(=O)[C@@]3(O[C@H]23)[C@@H](OC(C)=O)C1,113963-39-6,44258557,,C23H24O10,460.4,134.17,1.5985,0,10,4,,3.1006,,rdkit_computed+rdkit_np,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/44258557,2026-06-02T13:13:47.259619+00:00,provisional,inchi_key,conflict_strong_identity_salvage;inchi_key;salvage_penalty;conflict:inchi_key;group_size=1;group_status=provisional;match_reason=exact_name_match;inchi_supported;name_formula_support;mw_support;top_hits_too_close,1,1,false
00374707-0ba0-5e5d-8bdd-8b6f42606c29,inchikey:AEQPLRPDNSGKQU-RRSDWBIYSA-N,Cucumerin B,AEQPLRPDNSGKQU-RRSDWBIYSA-N,CCCC(=O)Oc1cc(O)c2c(c1)O[C@H](c1ccc3c(c1)OC(c1ccc(O)c(OC)c1)C(CO)O3)[C@@H](O)C2=O,613254-11-8,44257648,,C29H28O11,552.5,161.21,3.3626,4,11,7,,1.6,,rdkit_computed+rdkit_np,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/44257648,2026-06-02T13:22:52.869203+00:00,provisional,inchi_key,conflict_strong_identity_salvage;inchi_key;salvage_penalty;conflict:inchi_key;group_size=1;group_status=provisional;match_reason=exact_name_match;inchi_supported;name_formula_support;mw_support;top_hits_too_close,1,1,false
0040cfef-aa32-5a7a-a6a5-65fe4cbae47d,inchikey:VTVARPTUBCBNJX-WJTVCTBASA-N,Cornoside,VTVARPTUBCBNJX-WJTVCTBASA-N,OC[C@H]1O[C@@H](OCCc2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,40661-45-8,3084796,,C14H20O8,316.30,139.84,-1.5432,6,8,5,,2.0542,,rdkit_computed+rdkit_np,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/3084796,2026-06-02T13:20:13.775924+00:00,provisional,inchi_key,conflict_strong_identity_salvage;inchi_key;salvage_penalty;conflict:inchi_key;group_size=1;group_status=provisional;match_reason=exact_cas_or_synonym;inchi_supported;name_formula_support;cas_name_support;cas_formula_support;mw_support;top_hits_too_close,1,1,true
