disease_key,disease_id,disease_name,efo_id,ensembl_id,gene_symbol,approved_name,uniprot_accession,uniprot_source,association_score,retrieved_at
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000187486,KCNJ11,potassium inwardly rectifying channel subfamily J member 11,Q14654,uniprot_swissprot,0.8640818640906704,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000006071,ABCC8,ATP binding cassette subfamily C member 8,Q09428,uniprot_swissprot,0.8632990966269212,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000106633,GCK,glucokinase,P35557,uniprot_swissprot,0.859502979692441,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000132170,PPARG,peroxisome proliferator activated receptor gamma,P37231,uniprot_swissprot,0.8583412887235967,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000135100,HNF1A,HNF1 homeobox A,P20823,uniprot_swissprot,0.7761134586462747,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000171105,INSR,insulin receptor,P06213,uniprot_swissprot,0.7754793663582322,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000275410,HNF1B,HNF1 homeobox B,P35680,uniprot_swissprot,0.7719948697602974,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000109501,WFS1,wolframin ER transmembrane glycoprotein,O76024,uniprot_swissprot,0.7619338628865212,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000112164,GLP1R,glucagon like peptide 1 receptor,P43220,uniprot_swissprot,0.7607441892002977,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000101076,HNF4A,hepatocyte nuclear factor 4 alpha,P41235,uniprot_swissprot,0.759074867531525,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000163581,SLC2A2,solute carrier family 2 member 2,P11168,uniprot_swissprot,0.7394230050826884,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000105221,AKT2,AKT serine/threonine kinase 2,P31751,uniprot_swissprot,0.718684937715696,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000115159,GPD2,glycerol-3-phosphate dehydrogenase 2,P43304,uniprot_swissprot,0.7091613125045961,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000164756,SLC30A8,solute carrier family 30 member 8,Q8IWU4,uniprot_swissprot,0.697484388518743,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000106331,PAX4,paired box 4,O43316,uniprot_swissprot,0.6810918383743871,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000010310,GIPR,gastric inhibitory polypeptide receptor,P48546,uniprot_swissprot,0.6787133114411867,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000162992,NEUROD1,neuronal differentiation 1,Q13562,uniprot_swissprot,0.671584445805275,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000164258,NDUFS4,NADH:ubiquinone oxidoreductase subunit S4,O43181,uniprot_swissprot,0.6656840735430128,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000148737,TCF7L2,transcription factor 7 like 2,Q9NQB0,uniprot_swissprot,0.6652720518996029,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000198888,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,P03886,uniprot_swissprot,0.6562336053125245,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000197594,ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,P22413,uniprot_swissprot,0.6548632579981156,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000213619,NDUFS3,NADH:ubiquinone oxidoreductase core subunit S3,O75489,uniprot_swissprot,0.6509587923963016,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000140675,SLC5A2,solute carrier family 5 member 2,P31639,uniprot_swissprot,0.6365537378844249,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000197635,DPP4,dipeptidyl peptidase 4,P27487,uniprot_swissprot,0.636482708967657,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000113161,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,P04035,uniprot_swissprot,0.6347277284140685,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000166136,NDUFB8,NADH:ubiquinone oxidoreductase subunit B8,O95169,uniprot_swissprot,0.6340173035785158,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000186951,PPARA,peroxisome proliferator activated receptor alpha,Q07869,uniprot_swissprot,0.6261696997883347,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000186010,NDUFA13,NADH:ubiquinone oxidoreductase subunit A13,Q9P0J0,uniprot_swissprot,0.6222935517776949,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000145996,CDKAL1,CDKAL1 threonylcarbamoyladenosine tRNA methylthiotransferase,Q5VV42,uniprot_swissprot,0.6205204712281226,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000165264,NDUFB6,NADH:ubiquinone oxidoreductase subunit B6,O95139,uniprot_swissprot,0.6199087445798743,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000140718,FTO,FTO alpha-ketoglutarate dependent dioxygenase,Q9C0B1,uniprot_swissprot,0.6198860447794338,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000198695,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6,P03923,uniprot_swissprot,0.6177833099366682,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000128609,NDUFA5,NADH:ubiquinone oxidoreductase subunit A5,Q16718,uniprot_swissprot,0.6176147982367173,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000090266,NDUFB2,NADH:ubiquinone oxidoreductase subunit B2,O95178,uniprot_swissprot,0.6145554551488684,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000151366,NDUFC2,NADH:ubiquinone oxidoreductase subunit C2,O95298,uniprot_swissprot,0.6142883181915338,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000004779,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,O14561,uniprot_swissprot,0.6138733139557299,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000178057,NDUFAF3,NADH:ubiquinone oxidoreductase complex assembly factor 3,Q9BU61,uniprot_swissprot,0.6126215161895916,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000198763,MT-ND2,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2,P03891,uniprot_swissprot,0.6120098270187422,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000185002,RFX6,regulatory factor X6,Q8HWS3,uniprot_swissprot,0.6119324853917856,2026-07-12T20:08:33+00:00
type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,Type 2 Diabetes Mellitus,MONDO_0005148,ENSG00000212907,MT-ND4L,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L,P03901,uniprot_swissprot,0.6115191929424592,2026-07-12T20:08:33+00:00
