canonical_key,ensembl_id,gene_symbol,approved_name,uniprot_accession,uniprot_source,organism_tax_id
uniprot:O43657,ENSG00000000003,TSPAN6,tetraspanin 6,O43657,uniprot_swissprot,9606
uniprot:Q8IZE3,ENSG00000000457,SCYL3,scy1 like pseudokinase 3,Q8IZE3,uniprot_swissprot,9606
uniprot:P09769,ENSG00000000938,FGR,"fgr proto-oncogene, src family tyrosine kinase",P09769,uniprot_swissprot,9606
uniprot:Q9BTY2,ENSG00000001036,FUCA2,alpha-l-fucosidase 2,Q9BTY2,uniprot_swissprot,9606
uniprot:P48506,ENSG00000001084,GCLC,glutamate-cysteine ligase catalytic subunit,P48506,uniprot_swissprot,9606
uniprot:Q13275,ENSG00000001617,SEMA3F,semaphorin 3f,Q13275,uniprot_swissprot,9606
uniprot:P13569,ENSG00000001626,CFTR,cf transmembrane conductance regulator,P13569,uniprot_swissprot,9606
uniprot:Q16850,ENSG00000001630,CYP51A1,cytochrome p450 family 51 subfamily a member 1,Q16850,uniprot_swissprot,9606
uniprot:O00522,ENSG00000001631,KRIT1,krit1 ankyrin repeat containing,O00522,uniprot_swissprot,9606
uniprot:P43351,ENSG00000002016,RAD52,rad52 dna repair protein,P43351,uniprot_swissprot,9606
uniprot:Q92934,ENSG00000002330,BAD,bcl2 associated agonist of cell death,Q92934,uniprot_swissprot,9606
uniprot:P28838,ENSG00000002549,LAP3,leucine aminopeptidase 3,P28838,uniprot_swissprot,9606
uniprot:O14792,ENSG00000002587,HS3ST1,heparan sulfate-glucosamine 3-sulfotransferase 1,O14792,uniprot_swissprot,9606
uniprot:P19801,ENSG00000002726,AOC1,amine oxidase copper containing 1,P19801,uniprot_swissprot,9606
uniprot:Q76N89,ENSG00000002746,HECW1,"hect, c2 and ww domain containing e3 ubiquitin protein ligase 1",Q76N89,uniprot_swissprot,9606
uniprot:Q9Y6D9,ENSG00000002822,MAD1L1,mitotic arrest deficient 1 like 1,Q9Y6D9,uniprot_swissprot,9606
uniprot:Q14847,ENSG00000002834,LASP1,lim and sh3 protein 1,Q14847,uniprot_swissprot,9606
uniprot:Q9Y5W9,ENSG00000002919,SNX11,sorting nexin 11,Q9Y5W9,uniprot_swissprot,9606
uniprot:Q96HP8,ENSG00000002933,TMEM176A,transmembrane protein 176a,Q96HP8,uniprot_swissprot,9606
uniprot:P20645,ENSG00000003056,M6PR,"mannose-6-phosphate receptor, cation dependent",P20645,uniprot_swissprot,9606
uniprot:Q9NR63,ENSG00000003137,CYP26B1,cytochrome p450 family 26 subfamily b member 1,Q9NR63,uniprot_swissprot,9606
uniprot:Q96Q42,ENSG00000003393,ALS2,alsin rho guanine nucleotide exchange factor als2,Q96Q42,uniprot_swissprot,9606
uniprot:Q92851,ENSG00000003400,CASP10,caspase 10,Q92851,uniprot_swissprot,9606
uniprot:O15519,ENSG00000003402,CFLAR,casp8 and fadd like apoptosis regulator,O15519,uniprot_swissprot,9606
uniprot:P10646,ENSG00000003436,TFPI,tissue factor pathway inhibitor,P10646,uniprot_swissprot,9606
uniprot:Q7L592,ENSG00000003509,NDUFAF7,nadh:ubiquinone oxidoreductase complex assembly factor 7,Q7L592,uniprot_swissprot,9606
uniprot:P52756,ENSG00000003756,RBM5,rna binding motif protein 5,P52756,uniprot_swissprot,9606
uniprot:P52569,ENSG00000003989,SLC7A2,solute carrier family 7 member 2,P52569,uniprot_swissprot,9606
uniprot:P84085,ENSG00000004059,ARF5,arf gtpase 5,P84085,uniprot_swissprot,9606
uniprot:Q6SZW1,ENSG00000004139,SARM1,sterile alpha and tir motif containing 1,Q6SZW1,uniprot_swissprot,9606
uniprot:Q9Y4D7,ENSG00000004399,PLXND1,plexin d1,Q9Y4D7,uniprot_swissprot,9606
uniprot:P28907,ENSG00000004468,CD38,cd38 molecule,P28907,uniprot_swissprot,9606
