disease_id,disease_key,canonical_key,disease_name,disease_name_clean,canonical_name_source,seed_disease_name,seed_disease_name_clean,standardized_name,ontology_id,ontology_source,ontology_label,ontology_description,ontology_synonyms,source_id,source_name,source_url,retrieved_at,source_reference_clean,ontology_status,ontology_match_method,ontology_query,batch_id,created_at
079e61f1-4104-59c4-9c16-c77fe87dfeae,type_2_diabetes_mellitus,doid:9352,Type 2 Diabetes Mellitus,type 2 diabetes mellitus,seed_disease_name,type 2 diabetes mellitus,type 2 diabetes mellitus,type 2 diabetes mellitus,DOID_9352,Disease Ontology,type 2 diabetes mellitus,"A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin.",insulin resistance; non-insulin-dependent diabetes mellitus; type 2 diabetes; type ii diabetes mellitus; niddm; t2dm,D001,curated_disease_seed,https://disease-ontology.org/?id=DOID:9352,2026-06-08T06:39:03+00:00,WHO / IDF,matched,cache,type 2 diabetes mellitus,D001,2026-06-08T06:39:03+00:00
bdbf1095-0cdc-5827-9694-2488d840a243,hypertension,doid:10763,Hypertension,hypertension,seed_disease_name,hypertension,hypertension,hypertension,DOID_10763,Disease Ontology,hypertension,An artery disease characterized by chronic elevated blood pressure in the arteries.,hyperpiesia; vascular hypertensive disorder; htn; high blood pressure,D002,curated_disease_seed,https://disease-ontology.org/?id=DOID:10763,2026-06-08T06:39:03+00:00,WHO fact sheet,matched,cache,hypertension,D001,2026-06-08T06:39:03+00:00
d5128efd-aa44-55be-90c9-ba2b2e7895dd,rheumatoid_arthritis,doid:7148,Rheumatoid Arthritis,rheumatoid arthritis,seed_disease_name,rheumatoid arthritis,rheumatoid arthritis,rheumatoid arthritis,DOID_7148,Disease Ontology,rheumatoid arthritis,An arthritis that is an autoimmune disease which attacks healthy cells and tissue located_in joint.,arthritis or polyarthritis; rheumatic; atrophic arthritis; ra,D005,curated_disease_seed,https://disease-ontology.org/?id=DOID:7148,2026-06-08T06:39:03+00:00,WHO fact sheet,matched,cache,rheumatoid arthritis,D001,2026-06-08T06:39:03+00:00
12b38af1-6f63-54a2-9d85-01b1c9811269,asthma,doid:2841,Asthma,asthma,seed_disease_name,asthma,asthma,asthma,DOID_2841,Disease Ontology,asthma,"A bronchial disease that is characterized by chronic inflammation and narrowing of the airways, which is caused by a combination of environmental and genetic factors. The disease has_symptom recurring periods of wheezing (a whistling sound while breathing), has_symptom chest tightness, has_symptom shortness of breath, has_symptom mucus production and has_symptom coughing.",bronchial hyperreactivity; chronic obstructive asthma with acute exacerbation; chronic obstructive asthma with status asthmaticus; chronic obstructive asthma; bronchial asthma,D006,curated_disease_seed,https://disease-ontology.org/?id=DOID:2841,2026-06-08T06:39:03+00:00,WHO / GINA,matched,cache,asthma,D001,2026-06-08T06:39:03+00:00
4970fd41-591e-59b2-a423-7da28775c338,copd,doid:3083,COPD,copd,seed_disease_name,copd,copd,chronic obstructive pulmonary disease,DOID_3083,Disease Ontology,chronic obstructive pulmonary disease,"An obstructive lung disease that is a chronic and progressive disorder of small airways in the lungs and that is characterized by irreversible airflow obstruction, typically identified by reductions in quantitative spirometric indices, induced forced expiratory volume at 1 second (FEV1) and the ratio of FEV1 to forced vital capacity (less than 0.7 is diagnostic of COPD). Lung volume is increased and pulmonary hypertension may occur. The pathologic changes result in the disruption of the airflow in the bronchial airways. Signs and symptoms include shortness of breath, wheezing, productive cough and chest tightness. COPD is a consequence (an end result) of chronic bronchitis, emphysema or both.",chronic obstructive airway disease; chronic obstructive lung disease; cold; copd; chronic obstructive pulmonary disease,D007,curated_disease_seed,https://disease-ontology.org/?id=DOID:3083,2026-06-08T06:39:03+00:00,WHO fact sheet,matched,cache,copd,D001,2026-06-08T06:39:03+00:00
45b40aac-c9f1-5932-97c0-6a13bb7e8752,masld,doid:0080208,MASLD,masld,seed_disease_name,masld,masld,metabolic dysfunction-associated steatotic liver disease,DOID_0080208,Disease Ontology,metabolic dysfunction-associated steatotic liver disease,"A steatotic liver disease characterized by at least one of five specified cardiometabolic risk factors and no other discernible cause with normal to no alcohol use. The five cardiometabolic risk factors are: (1) higher than normal body mass index or waist circumference; (2) higher than normal serum glucose or glycated hemoglobin level, or type 2 diabetes; (3) higher than normal blood pressure or hypertensive treatment; (4) higher than normal plasma triglycerides or lipid lowering treatment; and (5) lower than normal plasma high-density lipoprotein cholesterol.",metabolic dysfunction-associated fatty liver disease; metabolic dysfunction-related steatotic liver disease; metabolic-associated fatty liver disease; non-alcoholic fatty liver disease; nonalcoholic fatty liver disease; mafld; masld; nafld; metabolic dysfunction-associated steatotic liver disease; fatty liver,D008,curated_disease_seed,https://disease-ontology.org/?id=DOID:0080208,2026-06-08T06:39:03+00:00,NIDDK,matched,cache,masld,D001,2026-06-08T06:39:03+00:00
ee8cd905-ac90-5695-8a6a-9795c61923e6,breast_cancer,doid:1612,Breast Cancer,breast cancer,seed_disease_name,breast cancer,breast cancer,breast cancer,DOID_1612,Disease Ontology,breast cancer,An organ system cancer that originates in the mammary gland.,breast tumor; malignant neoplasm of breast; malignant tumor of the breast; mammary cancer; mammary tumor; primary breast cancer; mammary carcinoma,D009,curated_disease_seed,https://disease-ontology.org/?id=DOID:1612,2026-06-08T06:39:03+00:00,WHO fact sheet,matched,cache,breast cancer,D001,2026-06-08T06:39:03+00:00
37d4f6a9-1969-5cca-9056-df6b65a8dbec,colorectal_cancer,doid:9256,Colorectal Cancer,colorectal cancer,seed_disease_name,colorectal cancer,colorectal cancer,colorectal cancer,DOID_9256,Disease Ontology,colorectal cancer,A large intestine cancer that is located_in the colon and/or located_in the rectum.,colon cancer; rectal cancer,D010,curated_disease_seed,https://disease-ontology.org/?id=DOID:9256,2026-06-08T06:39:03+00:00,IARC / WHO,matched,cache,colorectal cancer,D001,2026-06-08T06:39:03+00:00
0c3a55be-3fb0-55e1-a87e-b45227eaf3ca,ischemic_heart_disease,doid:3393,Ischemic Heart Disease,ischemic heart disease,seed_disease_name,ischemic heart disease,ischemic heart disease,coronary artery disease,DOID_3393,Disease Ontology,coronary artery disease,An artery disease that is characterized by plaque building up along the inner walls of the arteries of the heart resulting in a narrowing of the arteries and a reduced blood supply to the cardiac muscles.,coronary disease; ischemic heart disease; coronary arteriosclerosis; coronary heart disease; myocardial ischemia; chd; coronary artery disease,D011,curated_disease_seed,https://disease-ontology.org/?id=DOID:3393,2026-06-08T06:39:03+00:00,WHO fact sheet,matched,online_exact,coronary artery disease,D001,2026-06-08T06:39:03+00:00
6f1bb6c8-53ac-5a3b-bcba-ad9ae2f16c60,alzheimer_s_disease,mesh:D000544,Alzheimer's Disease,alzheimer's disease,seed_disease_name,alzheimer's disease,alzheimer's disease,alzheimer disease,mesh_D000544,MeSH,alzheimer disease,"A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA. Impairment of MEMORY, judgment, attention span, and problem solving skills are followed by severe APRAXIAS and a global loss of cognitive abilities. The condition primarily occurs after age 60, and is marked pathologically by severe cortical atrophy and the triad of SENILE PLAQUES; NEUROFIBRILLARY TANGLES; and NEUROPIL THREADS. (From Adams et al., Principles of Neurology, 6th ed, pp1049-57)",alzheimer disease; ad; late-onset alzheimer's,D012,curated_disease_seed,https://meshb.nlm.nih.gov/record/ui?ui=mesh_D000544,2026-06-08T06:39:03+00:00,WHO fact sheet,matched,online_exact,alzheimer disease,D001,2026-06-08T06:39:03+00:00
