plant_id,original_species_name,verbatim_scientific_name,canonical_candidate_name,authorship_candidate,canonical_lookup_key,family_name,common_name,classification,purpose,reference,detail_url,source_batch_id,raw_hash,species_name
1,Abelmoschus manihot,Abelmoschus manihot,Abelmoschus manihot,,abelmoschus manihot,Malvaceae,,plants(vegetables),medicinal,"Roosita,J.Ethnopharmacol.,115,(2008),72",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Abelmoschus%20manihot,knapsack_world_id_2026_04_17,0099957a674ae34ac20da21a9e8ca4b0c225ed2910614037590f1a667def0f03,Abelmoschus manihot
2,Abelmoschus moschatus (L.) Medic.,Abelmoschus moschatus (L.) Medic.,Abelmoschus moschatus,(L.) Medic.,abelmoschus moschatus,Malvaceae,,plants,medicinal,"Atlas Tumbuhan Obat by dr.Setiawan Dalimartha (2000),Vol 2,ISBN 979-661-065-5.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Abelmoschus%20moschatus,knapsack_world_id_2026_04_17,7de06db7349ad60d42a350f007bdeb51f26588804729fec442b95a35b8876d1a,Abelmoschus moschatus (L.) Medic.
3,Abrus fruticulosus Wight & Arn.,Abrus fruticulosus Wight & Arn.,Abrus fruticulosus,Wight & Arn.,abrus fruticulosus,Fabaceae,,plants,medicinal,"de Padua et al.(1999), Plant Resources of South-East Asia 12,(1) Medicinal and poisonous plants 1, Bogor, Indonesia",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Abrus%20fruticulosus,knapsack_world_id_2026_04_17,52348645be8057f1d946752ff3b202247a5ac23ee8a755dd0524ebc790ea280f,Abrus fruticulosus Wight & Arn.
4,Abrus precatorius,Abrus precatorius,Abrus precatorius,,abrus precatorius,Fabaceae,Jequirity | Crab's eye | Indian liquorice,plants(vegetables),medicinal,"JAMU in Indonesian Daily Life and Industry by Suwidjiyo Pramono Roosita,J.Ethnopharmacol.,115,(2008),72 Herbal Indonesia Berkhasiat by Bukti Ilmiah & Cara Racik,Vol 8,ISBN 979-688-236-6.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Abrus%20precatorius,knapsack_world_id_2026_04_17,06b4c75e1fe50bdd882d114a928e6d63019cd0dd63f5b3737c1b7a09188a7484,Abrus precatorius
5,Abutilon indicum (L.) Sweet,Abutilon indicum (L.) Sweet,Abutilon indicum,(L.) Sweet,abutilon indicum,Malvaceae,,plants,medicinal,"Utami,Buku Pintar Tanaman Obat,431 jenis tanaman penggempur aneka penyakit,Redaksi AgroMedia,(2008)",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Abutilon%20indicum,knapsack_world_id_2026_04_17,f70ac22701711653df7125304b16ce136d7f53bc36c896c44b650b10e86b365e,Abutilon indicum (L.) Sweet
6,Acalypha hispida,Acalypha hispida,Acalypha hispida,,acalypha hispida,Euphorbiaceae,,plants,medicinal,"Herbal Indonesia Berkhasiat by Bukti Ilmiah & Cara Racik,Vol 8,ISBN 979-688-236-6.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Acalypha%20hispida,knapsack_world_id_2026_04_17,79013e2ae304c01bd350e185600b2a8d1a15b791e2a3802dccb96b74d1d49b51,Acalypha hispida
7,Acalypha indica L.,Acalypha indica L.,Acalypha indica,L.,acalypha indica,Euphorbiaceae,,plants,medicinal,"Atlas Tumbuhan Obat by dr.Setiawan Dalimartha (2000),Vol 2,ISBN 979-661-065-5. Utami,Buku Pintar Tanaman Obat,431 jenis tanaman penggempur aneka penyakit,Redaksi AgroMedia,(2008)",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Acalypha%20indica,knapsack_world_id_2026_04_17,ef4a6f8b89923c3ca776800feb9223d407607b331908c9ddfb98c6ee1babf9ea,Acalypha indica L.
8,Acanthus ilicifolius L.,Acanthus ilicifolius L.,Acanthus ilicifolius,L.,acanthus ilicifolius,Acanthaceae,,plants,medicinal,"Utami,Buku Pintar Tanaman Obat,431 jenis tanaman penggempur aneka penyakit,Redaksi AgroMedia,(2008)",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Acanthus%20ilicifolius,knapsack_world_id_2026_04_17,c5ccc0e79dca6d611e847c7c03c9e72b62536454aae480eaf06c71746aa32ab1,Acanthus ilicifolius L.
9,Achyranthes aspera L.,Achyranthes aspera L.,Achyranthes aspera,L.,achyranthes aspera,Amaranthaceae,,plants,medicinal,"Atlas Tumbuhan Obat by dr.Setiawan Dalimartha (2008),Vol 5,ISBN 978-979-1480-18-5. Utami,Buku Pintar Tanaman Obat,431 jenis tanaman penggempur aneka penyakit,Redaksi AgroMedia,(2008)",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Achyranthes%20aspera,knapsack_world_id_2026_04_17,3d97f1587396a0e6d56e3cf087afc3d808cd05772dfaceb12f9705ea5f9e8dde,Achyranthes aspera L.
10,Acorus calamus,Acorus calamus,Acorus calamus,,acorus calamus,Acoraceae,Sweet flag | Calamus | Myrtle flag,plants,medicinal,"JAMU in Indonesian Daily Life and Industry by Suwidjiyo Pramono Herbal Indonesia Berkhasiat by Bukti Ilmiah & Cara Racik,Vol 8,ISBN 979-688-236-6.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Acorus%20calamus,knapsack_world_id_2026_04_17,de7ce2df16c5aec13e00ee71ab60cd236f1e06062795dc0a64095aee5a589179,Acorus calamus
