decision,decision_reason,source_name,canonical_scientific_name,authorship,input_name,canonical_lookup_key,source_row_count,query_status,http_status,matched_name,accepted_name,rank,taxonomic_status,match_type,confidence,gbif_usage_key,gbif_accepted_usage_key,gbif_species_key,gbif_genus_key,gbif_family_key,gbif_kingdom_key,cache_key,cache_path
review,Needs review because match_type='VARIANT' with confidence=83 is plausible but not strong enough for automatic acceptance.,KNApSAcK World,Rauvolfia serpentina (L.) Benth. ex Kurz,(L.) Benth. ex Kurz,Rauwolfia serpentina,rauwolfia serpentina,1,ok,200,,Rauvolfia serpentina (L.) Benth. ex Kurz,Rauvolfia serpentina (L.) Benth. ex Kurz,SPECIES,ACCEPTED,VARIANT,83,3169787,3169787,3169787,3169769,6701,6,72cf9a21ac2b00c1fdd232b87ed9190bd234a938156c22f27202e619ff9b5ee0,03_match_gbif\out\cache\72cf9a21ac2b00c1fdd232b87ed9190bd234a938156c22f27202e619ff9b5ee0.json
accepted,Manually verified species-level match after review.,KNApSAcK World,Caesalpinia crista L.,L.,Caesalpinia crista,caesalpinia crista,1,ok,200,Caesalpinia crista L.,Ticanto crista (L.) R.Clark & Gagnon,SPECIES,SYNONYM,MANUAL,100,8179846,8179846,11973078,2958443,5386,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Canarium commune L.,L.,Canarium commune,canarium commune,1,ok,200,Canarium commune L.,Canarium indicum L.,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,5421346,5421346,5421345,3190431,6659,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Cinnamomum cassia (L.) J.Presl,(L.) J.Presl,Cinnamomum cassia,cinnamomum cassia,1,ok,200,Cinnamomum cassia (L.) J.Presl,Neolitsea cassia (L.) Kosterm.,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,7512166,7512166,4180148,7304368,6688,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Citrus ×nobilis Lour.,Lour.,Citrus nobilis,citrus nobilis,1,ok,200,Citrus ×nobilis Lour.,Citrus ×aurantium L.,SPECIES,SYNONYM,MANUAL,100,3190173,3190173,8077391,3190155,2396,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Cleome spinosa L.,L.,Cleome spinosa,cleome spinosa,1,ok,200,Cleome spinosa L.,Tarenaya houtteana (Schltdl.) Soares Neto & Roalson,SPECIES,SYNONYM,MANUAL,100,8860549,8860549,12187916,6370691,3845332,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,"Clerodendrum serratum Spreng., 1825","Spreng., 1825",Clerodendron serratum,clerodendron serratum,1,ok,200,"Clerodendrum serratum Spreng., 1825","Clerodendrum serratum Spreng., 1825",SPECIES,ACCEPTED,MANUAL,100,8355397,8355397,8355397,2925347,2497,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Coleus amboinicus Lour.,Lour.,Coleus carnosus,coleus carnosus,1,ok,200,Coleus amboinicus Lour.,Coleus amboinicus Lour.,SPECIES,ACCEPTED,MANUAL,100,5341313,5341313,5341313,2927310,2497,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Derris scandens (Roxb.) Benth.,(Roxb.) Benth.,Derris scandens,derris scandens,1,ok,200,Derris scandens (Roxb.) Benth.,Brachypterum scandens (Roxb.) Miq.,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,5350316,5350316,10779326,2952879,5386,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Phyllodium pulchellum (L.) Desv.,(L.) Desv.,Desmodium pulchellum,desmodium pulchellum,1,ok,200,Phyllodium pulchellum (L.) Desv.,Phyllodium pulchellum (L.) Desv.,SPECIES,ACCEPTED,MANUAL,100,2948568,2948568,2948568,2948556,5386,6,manual_override,manual
