input_name,gbif_id,raw_plant_id
Caesalpinia crista,8179846,83
Canarium commune,5421346,93
Cinnamomum cassia,7512166,120
Citrus nobilis,3190173,130
Cleome spinosa,8860549,132
Clerodendron serratum,8355397,133
Coleus carnosus,5341313,144
Derris scandens,5350316,175
Desmodium pulchellum,2948568,178
Desmodium triflorum,2967163,180
Elaeocarpus ganitrus,4031193,194
Hedyotis corymbosa,2912014,253
Ipomoea reptans,4925685,279
Kyllinga brevifolia,2718737,295
Laurentia longiflora,5414185,302
Luffa cylindrica,12387721,313
Orthosiphon spicatus,3891892,363
Phaseolus radiatus,7895892,384
Piper methysticum,3086358,398
Pyrus malus,5362336,420
Quisqualis indica,5421048,423
Solanum indicum,2930111,462
Strychnos ligustrina,8381474,479
Zingiber aromaticum,2757132,531
