decision,decision_reason,source_name,canonical_scientific_name,authorship,input_name,raw_plant_id,canonical_lookup_key,source_row_count,query_status,http_status,error_message,matched_name,accepted_name,rank,taxonomic_status,match_type,confidence,gbif_usage_key,gbif_accepted_usage_key,gbif_species_key,gbif_genus_key,gbif_family_key,gbif_kingdom_key,family_name,cache_key,cache_path
accepted,Manually verified species-level match after review.,KNApSAcK World,Ticanto crista (L.) R.Clark & Gagnon,L.,Caesalpinia crista,83,caesalpinia crista,1,ok,200,,Caesalpinia crista L.,Ticanto crista (L.) R.Clark & Gagnon,SPECIES,SYNONYM,MANUAL,100,8179846,11973078,11973078,2958443,5386,6,Fabaceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Canarium indicum L.,L.,Canarium commune,93,canarium commune,1,ok,200,,Canarium commune L.,Canarium indicum L.,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,5421346,5421345,5421345,3190431,6659,6,Burseraceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Neolitsea cassia (L.) Kosterm.,(L.) J.Presl,Cinnamomum cassia,120,cinnamomum cassia,1,ok,200,,Cinnamomum cassia (L.) J.Presl,Neolitsea cassia (L.) Kosterm.,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,7512166,4180148,4180148,7304368,6688,6,Lauraceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Citrus ×aurantium L.,Lour.,Citrus nobilis,130,citrus nobilis,1,ok,200,,Citrus ×nobilis Lour.,Citrus ×aurantium L.,SPECIES,SYNONYM,MANUAL,100,3190173,8077391,8077391,3190155,2396,6,Rutaceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Tarenaya houtteana (Schltdl.) Soares Neto & Roalson,L.,Cleome spinosa,132,cleome spinosa,1,ok,200,,Cleome spinosa L.,Tarenaya houtteana (Schltdl.) Soares Neto & Roalson,SPECIES,SYNONYM,MANUAL,100,8860549,12187916,12187916,6370691,3845332,6,Cleomaceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,"Clerodendrum serratum Spreng., 1825","Spreng., 1825",Clerodendron serratum,133,clerodendron serratum,1,ok,200,,"Clerodendrum serratum Spreng., 1825","Clerodendrum serratum Spreng., 1825",SPECIES,ACCEPTED,MANUAL,100,8355397,8355397,8355397,2925347,2497,6,Lamiaceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Coleus amboinicus Lour.,Lour.,Coleus carnosus,144,coleus carnosus,1,ok,200,,Coleus amboinicus Lour.,Coleus amboinicus Lour.,SPECIES,ACCEPTED,MANUAL,100,5341313,5341313,5341313,2927310,2497,6,Lamiaceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Brachypterum scandens (Roxb.) Miq.,(Roxb.) Benth.,Derris scandens,175,derris scandens,1,ok,200,,Derris scandens (Roxb.) Benth.,Brachypterum scandens (Roxb.) Miq.,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,5350316,10779326,10779326,2952879,5386,6,Fabaceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Phyllodium pulchellum (L.) Desv.,(L.) Desv.,Desmodium pulchellum,178,desmodium pulchellum,1,ok,200,,Phyllodium pulchellum (L.) Desv.,Phyllodium pulchellum (L.) Desv.,SPECIES,ACCEPTED,MANUAL,100,2948568,2948568,2948568,2948556,5386,6,Fabaceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Grona triflora (L.) H.Ohashi & K.Ohashi,(L.) DC.,Desmodium triflorum,180,desmodium triflorum,1,ok,200,,Desmodium triflorum (L.) DC.,Grona triflora (L.) H.Ohashi & K.Ohashi,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,2967163,10833216,10833216,9615544,5386,6,Fabaceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Elaeocarpus sphaericus (Gaertn.) Ettingsh.,Roxb.,Elaeocarpus ganitrus,194,elaeocarpus ganitrus,1,ok,200,,Elaeocarpus ganitrus Roxb.,Elaeocarpus sphaericus (Gaertn.) Ettingsh.,SPECIES,SYNONYM,MANUAL,100,4031193,10988361,10988361,3152094,2435,6,Elaeocarpaceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Oldenlandia corymbosa L.,(L.) Lam.,Hedyotis corymbosa,253,hedyotis corymbosa,1,ok,200,,Hedyotis corymbosa (L.) Lam.,Oldenlandia corymbosa L.,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,2912014,2911970,2911970,2915706,8798,6,Rubiaceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Ipomoea aquatica Forssk.,Poir.,Ipomoea reptans,279,ipomoea reptans,1,ok,200,,Ipomoea reptans Poir.,Ipomoea aquatica Forssk.,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,4925685,2928525,2928525,2928509,2389,6,Convolvulaceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Cyperus brevifolius (Rottb.) Hassk.,Rottb.,Kyllinga brevifolia,295,kyllinga brevifolia,1,ok,200,,Kyllinga brevifolia Rottb.,Cyperus brevifolius (Rottb.) Hassk.,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,2718737,2718767,2718767,2713455,7708,6,Cyperaceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Hippobroma longiflora (L.) G.Don,(L.) Peterm.,Laurentia longiflora,302,laurentia longiflora,1,ok,200,,Laurentia longiflora (L.) Peterm.,Hippobroma longiflora (L.) G.Don,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,5414185,3168943,3168943,3168942,8801,6,Campanulaceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Luffa aegyptiaca Mill.,(L.) M.Roem.,Luffa cylindrica,313,luffa cylindrica,1,ok,200,,Luffa cylindrica (L.) M.Roem.,Luffa aegyptiaca Mill.,SPECIES,PROPARTE_SYNONYM,MANUAL,100,12387721,2874599,2874599,2874598,6634,6,Cucurbitaceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Orthosiphon aristatus var. aristatus,"(Thunb.) Backer, Bakh.f. & Steenis",Orthosiphon spicatus,363,orthosiphon spicatus,1,ok,200,,"Orthosiphon spicatus (Thunb.) Backer, Bakh.f. & Steenis",Orthosiphon aristatus var. aristatus,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,3891892,7308027,7308026,6410205,2497,6,Lamiaceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Vigna radiata (L.) R.Wilczek,L.,Phaseolus radiatus,384,phaseolus radiatus,1,ok,200,,Phaseolus radiatus L.,Vigna radiata (L.) R.Wilczek,SPECIES,SYNONYM,MANUAL,100,7895892,2982380,2982380,2982372,5386,6,Fabaceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Macropiper methysticum (G.Forst.) Hook. & Arn.,G.Forst.,Piper methysticum,398,piper methysticum,1,ok,200,,Piper methysticum G.Forst.,Macropiper methysticum (G.Forst.) Hook. & Arn.,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,3086358,4186474,4186474,7305061,6678,6,Piperaceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Malus domestica (Suckow) Borkh.,L.,Pyrus malus,420,pyrus malus,1,ok,200,,Pyrus malus L.,Malus domestica (Suckow) Borkh.,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,5362336,3001244,3001244,3001068,5015,6,Rosaceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Combretum indicum (L.) De Filipps,L.,Quisqualis indica,423,quisqualis indica,1,ok,200,,Quisqualis indica L.,Combretum indicum (L.) De Filipps,SPECIES,SYNONYM,MANUAL,100,5421048,12203608,12203608,2986357,2431,6,Combretaceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Solanum violaceum Ortega,L.,Solanum indicum,462,solanum indicum,1,ok,200,,Solanum indicum L.,Solanum violaceum Ortega,SPECIES,SYNONYM,MANUAL,100,2930111,2929848,2929848,2928997,7717,6,Solanaceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Strychnos lucida R.Br.,Blume,Strychnos ligustrina,479,strychnos ligustrina,1,ok,200,,Strychnos ligustrina Blume,Strychnos lucida R.Br.,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,8381474,5645531,5645531,3169589,2502,6,Loganiaceae,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Zingiber zerumbet subsp. zerumbet,Valeton,Zingiber aromaticum,531,zingiber aromaticum,1,ok,200,,Zingiber aromaticum Valeton,Zingiber zerumbet subsp. zerumbet,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,2757132,7069512,2757108,2756693,4687,6,Zingiberaceae,manual_override,manual
