decision,decision_reason,source_name,canonical_scientific_name,authorship,input_name,raw_plant_id,canonical_lookup_key,source_row_count,query_status,http_status,error_message,matched_name,accepted_name,rank,taxonomic_status,match_type,confidence,gbif_usage_key,gbif_accepted_usage_key,gbif_species_key,gbif_genus_key,gbif_family_key,gbif_kingdom_key,family_name,cache_key,cache_path
review,Needs review because match_type='HIGHERRANK' with confidence=96 is plausible but not strong enough for automatic acceptance.,KNApSAcK World,Begonia L.,L.,Begonia sp.,67,begonia sp,1,ok,200,,Begonia L.,Begonia L.,GENUS,ACCEPTED,HIGHERRANK,96,2874710,2874710,,2874710,6638,6,Begoniaceae,9daa751e1d2a4bb3d1685fbeaf54ef64a7debfc69ea4b02e7679479929879298,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\9daa751e1d2a4bb3d1685fbeaf54ef64a7debfc69ea4b02e7679479929879298.json
review,Needs review because match_type='HIGHERRANK' with confidence=99 is plausible but not strong enough for automatic acceptance.,KNApSAcK World,Fabaceae,,Caesalpinia crista,83,caesalpinia crista,1,ok,200,,Fabaceae,Fabaceae,FAMILY,ACCEPTED,HIGHERRANK,99,5386,5386,,,5386,6,Fabaceae,1049b13e60e7680df2a285a39d0d9d8a4e9f30e4e9f44c8cf6e52157bd093b8d,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\1049b13e60e7680df2a285a39d0d9d8a4e9f30e4e9f44c8cf6e52157bd093b8d.json
review,Needs review because match_type='HIGHERRANK' with confidence=99 is plausible but not strong enough for automatic acceptance.,KNApSAcK World,Canarium L.,L.,Canarium commune,93,canarium commune,1,ok,200,,Canarium L.,Canarium L.,GENUS,ACCEPTED,HIGHERRANK,99,3190431,3190431,,3190431,6659,6,Burseraceae,5a0b8e9e15109210078dc74305ef4d7defd0c6d1fc30d3c10adddc5446d2d1b2,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\5a0b8e9e15109210078dc74305ef4d7defd0c6d1fc30d3c10adddc5446d2d1b2.json
review,Needs review because match_type='HIGHERRANK' with confidence=99 is plausible but not strong enough for automatic acceptance.,KNApSAcK World,Lauraceae,,Cinnamomum cassia,120,cinnamomum cassia,1,ok,200,,Lauraceae,Lauraceae,FAMILY,ACCEPTED,HIGHERRANK,99,6688,6688,,,6688,6,Lauraceae,5c849b4fb640e3beac259ef6a008886712311559fa8ecbf96544af1dc628eb0c,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\5c849b4fb640e3beac259ef6a008886712311559fa8ecbf96544af1dc628eb0c.json
review,Needs review because match_type='HIGHERRANK' with confidence=99 is plausible but not strong enough for automatic acceptance.,KNApSAcK World,Citrus L.,L.,Citrus nobilis,130,citrus nobilis,1,ok,200,,Citrus L.,Citrus L.,GENUS,ACCEPTED,HIGHERRANK,99,3190155,3190155,,3190155,2396,6,Rutaceae,61bb2384f69dcb18b51aeedfdf2fcbe29da2e8cad4242179aa83ff38dff7320a,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\61bb2384f69dcb18b51aeedfdf2fcbe29da2e8cad4242179aa83ff38dff7320a.json
review,Needs review because match_type='HIGHERRANK' with confidence=99 is plausible but not strong enough for automatic acceptance.,KNApSAcK World,Tarenaya Raf.,Raf.,Cleome spinosa,132,cleome spinosa,1,ok,200,,Tarenaya Raf.,Tarenaya Raf.,GENUS,ACCEPTED,HIGHERRANK,99,6370691,6370691,,6370691,3845332,6,Cleomaceae,a76907da3598a440cfbeb07b278650bf577506280de7d08f457985cef47fc4fb,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\a76907da3598a440cfbeb07b278650bf577506280de7d08f457985cef47fc4fb.json
review,Needs review because match_type='HIGHERRANK' with confidence=96 is plausible but not strong enough for automatic acceptance.,KNApSAcK World,Clerodendrum L.,L.,Clerodendron serratum,133,clerodendron serratum,1,ok,200,,Clerodendron,Clerodendrum L.,GENUS,SYNONYM,HIGHERRANK,96,7449216,2925347,,2925347,2497,6,Lamiaceae,95eeacfb68229c5429f0bfab65654229c3b52637f2f119944b9ab0abfa737826,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\95eeacfb68229c5429f0bfab65654229c3b52637f2f119944b9ab0abfa737826.json
review,Needs review because match_type='HIGHERRANK' with confidence=99 is plausible but not strong enough for automatic acceptance.,KNApSAcK World,Coleus Lour.,Lour.,Coleus carnosus,144,coleus carnosus,1,ok,200,,Coleus Lour.,Coleus Lour.,GENUS,ACCEPTED,HIGHERRANK,99,2927310,2927310,,2927310,2497,6,Lamiaceae,c11913e2fc5b2a9ea2e4135e4751570ce65fecc4779db4ee9bb7757c96960dcf,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\c11913e2fc5b2a9ea2e4135e4751570ce65fecc4779db4ee9bb7757c96960dcf.json
review,Needs review because match_type='HIGHERRANK' with confidence=99 is plausible but not strong enough for automatic acceptance.,KNApSAcK World,Fabaceae,,Derris scandens,175,derris scandens,1,ok,200,,Fabaceae,Fabaceae,FAMILY,ACCEPTED,HIGHERRANK,99,5386,5386,,,5386,6,Fabaceae,e03c99294e3ebeec4089fcfbd8e931a962b61132420b4b3800e20091fc9135fc,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\e03c99294e3ebeec4089fcfbd8e931a962b61132420b4b3800e20091fc9135fc.json
review,Needs review because match_type='HIGHERRANK' with confidence=99 is plausible but not strong enough for automatic acceptance.,KNApSAcK World,Fabaceae,,Desmodium pulchellum,178,desmodium pulchellum,1,ok,200,,Fabaceae,Fabaceae,FAMILY,ACCEPTED,HIGHERRANK,99,5386,5386,,,5386,6,Fabaceae,d6f2a2607cda23b2a29abfd7975e028fc391babfbf138e01b517f1f52a06e994,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\d6f2a2607cda23b2a29abfd7975e028fc391babfbf138e01b517f1f52a06e994.json
review,Needs review because match_type='HIGHERRANK' with confidence=99 is plausible but not strong enough for automatic acceptance.,KNApSAcK World,Grona Lour.,Lour.,Desmodium triflorum,180,desmodium triflorum,1,ok,200,,Grona Lour.,Grona Lour.,GENUS,ACCEPTED,HIGHERRANK,99,9615544,9615544,,9615544,5386,6,Fabaceae,0f569ce7cab1fab750f496d572e6bd952ba9801518589de4c733e47c9dc3aecc,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\0f569ce7cab1fab750f496d572e6bd952ba9801518589de4c733e47c9dc3aecc.json
