alias_id,plant_id,alias_name,alias_key,alias_type,source_name,source_url,source_batch_id,retrieved_at
al_6e30fc984983b4d8c52f4181,pl_006213f3117f1898c2875760,Zingiber zerumbet subsp. zerumbet,zingiber zerumbet subsp zerumbet,normalized_variant,KNApSAcK World,,,
al_74e6c3d3a7a75d20a75edf69,pl_00c373a30e9e6440ecc47eae,Phaseolus vulgaris L.,phaseolus vulgaris l,normalized_variant,KNApSAcK World,,,
al_05274c4a027c4b7ef924993a,pl_024974665a061393511447e4,Bixa orellana L.,bixa orellana l,normalized_variant,KNApSAcK World,,,
al_7f1bd13cd989db56098c1bf9,pl_02977494d53920e6b3919a23,Gloriosa superba L.,gloriosa superba l,normalized_variant,KNApSAcK World,,,
al_1890ff30c9baa440605bb336,pl_02adc04e9237ebf125a97c1e,Kaempferia rotunda L.,kaempferia rotunda l,normalized_variant,KNApSAcK World,,,
al_abb0d25f84da39d0cabe3087,pl_02dad7cf6f0ba0d5aabc63e5,Selaginella doederleinii Hieron.,selaginella doederleinii hieron,normalized_variant,KNApSAcK World,,,
al_cadf43392ab33daad5bd2106,pl_02f9503734f203df4fa0447f,Cajanus cajan (L.) Huth,cajanus cajan l huth,normalized_variant,KNApSAcK World,,,
al_f6380fa3beb6dc99ced40bb2,pl_0337cd5a4ce935b4ff75805e,Kalanchoe pinnata (Lam.) Pers.,kalanchoe pinnata lam pers,normalized_variant,KNApSAcK World,,,
al_5e287335fee16bcee527a812,pl_03ae3d27b72db01e88b2d108,Pueraria montana (Lour.) Merr.,pueraria montana lour merr,normalized_variant,KNApSAcK World,,,
al_7e063c62ea6d0c041a76577a,pl_043078badd5d33b0d2919e51,Styphnolobium japonicum (L.) Schott,styphnolobium japonicum l schott,normalized_variant,KNApSAcK World,,,
al_c741b19374be60f42a1445e9,pl_0475390c46b94ba33f9b5f35,Viola odorata L.,viola odorata l,normalized_variant,KNApSAcK World,,,
al_c1561be601fdbbce9fb8392f,pl_04b3c27321a262278557c801,Ficus pumila L.,ficus pumila l,normalized_variant,KNApSAcK World,,,
al_0f21953cbe346e7ce3b6a037,pl_063ee4dfca28c8b3f8b2ae6f,Nerium oleander L.,nerium oleander l,normalized_variant,KNApSAcK World,,,
al_1e42cecece4fdc2de5f78e6d,pl_077bf9cb5a65f855fa7e7b51,Eclipta prostrata (L.) L.,eclipta prostrata l l,normalized_variant,KNApSAcK World,,,
al_c168987d3618b8687f7cd2fe,pl_079ee6dd545cb7010ad4f261,Intsia bijuga (Colebr.) Kuntze,intsia bijuga colebr kuntze,normalized_variant,KNApSAcK World,,,
al_a597095f62ab8ee9f64b0a8e,pl_07b5f56bdb9671aa21d30b18,Calophyllum inophyllum L.,calophyllum inophyllum l,normalized_variant,KNApSAcK World,,,
al_6c94158061e25e4d51a6a2ea,pl_082d08fcb39a42e66c37567b,Cinnamomum camphora (L.) J.Presl,cinnamomum camphora l j presl,normalized_variant,KNApSAcK World,,,
al_24381c202f333714c0b693cd,pl_0833bfd335f69f7449859eff,Caesalpinia pulcherrima (L.) Sw.,caesalpinia pulcherrima l sw,normalized_variant,KNApSAcK World,,,
al_aa51d5a6381221452da0f696,pl_08c9c7f6e7a0c5fc670432d2,Areca catechu L.,areca catechu l,normalized_variant,KNApSAcK World,,,
al_fb253bc11e1e4895528d5e6b,pl_093c883862341b51d8ccaf65,Ludwigia octovalvis (Jacq.) P.H.Raven,ludwigia octovalvis jacq p h raven,normalized_variant,KNApSAcK World,,,
al_f3b3208ce1cbf8c6971c13c2,pl_099de07006f592dd72fe87e5,Cymbopogon nardus (L.) Rendle,cymbopogon nardus l rendle,normalized_variant,KNApSAcK World,,,
al_d5563690e09ff6a46fa1a88a,pl_099e4c9611485ca8553e19b9,Murraya paniculata (L.) Jacq.,murraya paniculata l jacq,normalized_variant,KNApSAcK World,,,
